Número Activo|Revisado|Fecha revisión título|Título de la propiedad|Subtipo de título|Ratificación|Título de la propiedad entrada|Subtipo de título entrada|Instancia de libertad arrendataria|Situación inicial de inscripción|Situación posesoria inicial|Situación inicial cargas|Situación constructiva registral|Porcentaje de propiedad|Tipo de titularidad|Protección oficial|Autorización para la transmisión|Anotación Concurso|Estado de la gestión|En construcción física|Porcentaje construcción según tasación|En construcción jurídica|Porcentaje construcción según tasación|Certificado de fin de obra|Acta fin de obra/Obra nueva terminada|Licencia primera ocupación|Boletines|Seguro decenal|Cédula de habitabilidad|Fecha contrato|Legislación aplicable|Duración contrato|Tipo arrendamiento|Notificación a arrendatarios|Tipo de expediente |Estado de la gestión|Tipo de incidencia (contingencia registral)|Estado de la gestión|Tipo de ocupación|Tipo de incidencia (Ilocalizadas)|Estado de la gestión|Detalle del deterioro|Tipo de incidencia (Otros)|Estado de la gestión
6985371|SI|23/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6985597|SI|23/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6985655|SI|23/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6985681|SI|23/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6985686|SI|23/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6986021|SI|23/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6986300|SI|24/04/2020|02|04|NA||||INS|COM|AFF||100|PLD|01||||||||||||||||||||||||||||
6986356|SI|27/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6986357|SI|27/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6986541|SI|28/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6986680|SI|28/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6986687|SI|28/04/2020|01|01|NA||||PDTE|PDTE|PUR||100|PLD|01||||||||||||||||||||||||||||
6986709|SI|28/04/2020|01|01|NA||||INS|PDTE|AFF||100|PLD|01||||||||||||||||||||||||||||
6986713|SI|29/04/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
6986714|SI|29/04/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
6986853|SI|29/04/2020|01|01|NA||||PDTE||||||||||||||||||||||||||||||||||
