Centro bankia|Nombre Largo|centro espejo CBK|Nombre en CBK
1138|OFICINA ÁGIL 1138|3101|OF. ÁGIL MADRID-PALOMERAS-PEDRO LAB
1139|OFICINA 1139|496|OF. MADRID-CONGOSTO
1140|OFICINA 1140|2850|OF. MADRID-JUAN DUQUE
1141|OFICINA 1141|3194|OF. MADRID-BARCELÓ
1142|OFICINA 1142|2890|OF. MADRID-BLASCO DE GARAY
1144|OFICINA 1144|3461|OF. MADRID-JOSÉ DEL HIERRO
1145|OFICINA 1145|3254|OF. MADRID-ALBERTO PALACIOS-ARENAS
1146|OFICINA ÁGIL 1146|3328|OF. ÁGIL MADRID-AYALA
1149|OFICINA 1149|3564|OF. MADRID-FRANCOS RODRÍGUEZ
1150|OFICINA 1150|988|OF. MADRID-ALCALÁ-VENTAS
1153|OFICINA 1153|2885|OF. MADRID-ORENSE
1154|OFICINA 1154|2502|OF. MADRID-CAPITÁN HAYA-GRAL. YAGÜE
1155|OFICINA 1155|1322|OF. MADRID-VALDEACEDERAS
1157|OFICINA 1157|3414|OF. MADRID-HUMANES
1159|OFICINA 1159|929|OF. MADRID-CUEVAS DE ALMANZORA
1163|OFICINA 1163|1305|OF. MADRID-DOCTOR ESQUERDO-O'DONNEL
1165|OFICINA 1165|1356|OF. MADRID-ALCALÁ-QUINTANA
1166|OFICINA 1166|579|OF. MADRID-RICARDO ORTIZ
1169|OFICINA 1169|3231|OF. MADRID-ALCALÁ-PUEBLO NUEVO
1170|OFICINA 1170|3434|OF. MADRID-GRAN VÍA
1172|OFICINA 1172|933|OF. MADRID-LOS YÉBENES
1173|OFICINA 1173|913|OF. MADRID-VIRGEN DEL CORTIJO
1174|OFICINA ÁGIL 1174|1988|OF. ÁGIL MADRID-BRAVO MURILLO-ALVAR
1175|OFICINA 1175|1357|OF. MADRID-Pº DE LAS ACACIAS-ACACIA
1178|OFICINA 1178|3555|OF. MADRID-CAMINO DE VINATEROS-VINA
1179|OFICINA 1179|1139|OF. MADRID-PEZ
1181|OFICINA 1181|3189|OF. MADRID-ALTAMIRA
1182|OFICINA 1182|1187|OF. MADRID-TACONA
1183|OFICINA 1183|1329|OF. MADRID-LÓPEZ DE HOYOS
1185|OFICINA 1185|3182|OF. MADRID-TEMBLEQUE
1186|OFICINA 1186|1400|OF. MADRID-ETRURIA-LUCANO
1187|OFICINA 1187|631|OF. MADRID-AÑASTRO
1188|OFICINA 1188|2883|OF. MADRID-FEDERICO GRASES
1189|OFICINA 1189|3444|OF. MADRID-AV. CDAD. BARCELONA-ADEL
1190|OFICINA 1190|909|OF. MADRID-ILLESCAS-ESCALONA
1193|OFICINA 1193|689|OF. MADRID-AV. ABRANTES-FCO. PAINO
1195|OFICINA 1195|3465|OF. MADRID-CEBREROS
1196|OFICINA 1196|5398|OF. MADRID-AV. BADAJOZ-TORRELAGUNA
1197|OFICINA ÁGIL 1197|3392|OF. ÁGIL MADRID-GENERAL RICARDOS-UR
1198|OFICINA 1198|8336|OF. MADRID-VILLA VALLECAS-REAL ARGA
1301|OFICINA ÁGIL 1301|2894|OF. ÁGIL MADRID-CARABANCHEL
1302|OFICINA ÁGIL 1302|3441|OF. ÁGIL MADRID-C MARTÍN ÁLVAREZ-S
1303|OFICINA ÁGIL 1303|8332|OF. ÁGIL MADRID-AV. ALBUFERA
1304|OFICINA ÁGIL 1304|881|OF. ÁGIL MADRID-SIERRA TOLEDANA
1305|OFICINA ÁGIL 1305|2902|OF. ÁGIL MADRID-SOR ÁNGELA DE LA CR
1306|OFICINA ÁGIL 1306|3198|OF. ÁGIL MADRID-ILLESCAS
1307|OFICINA ÁGIL 1307|1320|OF. ÁGIL MADRID-GUAREÑA-AV. LOS POB
1308|OFICINA ÁGIL 1308|3633|OF. ÁGIL MADRID-BARCELÓ
1311|OFICINA ÁGIL 1311|742|OF. ÁGIL MADRID-JOSE ABASCAL
1312|OFICINA ÁGIL 1312|3233|OF. ÁGIL MADRID-LA VAGUADA
1313|OFICINA ÁGIL 1313|4514|OF. ÁGIL MADRID-MARIA CALLAS
1314|OFICINA ÁGIL 1314|3240|OF. ÁGIL MADRID-AV. CDAD. BCN-PACÍFI
1317|OFICINA ÁGIL 1317|2882|OF. ÁGIL PARLA-ZONA REYES
1318|OFICINA ÁGIL 1318|1052|OF. ÁGIL SEVILLA-CONSTITUCIÓN
1319|OFICINA ÁGIL 1319|5893|OF. ÁGIL MADRID-PPE. VERGARA-COLOMB
1320|OFICINA ÁGIL 1320|6002|OF. ÁGIL MADRID-CONDE DE VISTAHERMO
1321|OFICINA ÁGIL 1321|6244|OF. ÁGIL VALENCIA-FERNANDO EL CATÓL
1322|OFICINA ÁGIL 1322|2134|OF. ÁGIL VALENCIA-GASPAR AGUILAR
1323|OFICINA ÁGIL 1323|2879|OF. ÁGIL MADRID-OFELIA NIETO
1324|OFICINA ÁGIL 1324|6317|OF. ÁGIL MADRID-PADRE PIQUER-CAMPAM
1325|OFICINA ÁGIL 1325|6831|OF. ÁGIL CDAD. REAL- HERNAN PEREZ P
1326|OFICINA ÁGIL 1326|6841|OF. ÁGIL VALENCIA-NUEVO CENTRO
1327|OFICINA ÁGIL 1327|4737|OF. ÁGIL PATERNA-PLAÇA MAJOR
1328|OFICINA ÁGIL 1328|4229|OF. ÁGIL VALENCIA-RAMÓN LLULL
1329|OFICINA ÁGIL 1329|2209|OF. ÁGIL VALENCIA-SANTA ROSA
1330|OFICINA ÁGIL 1330|5794|OF. ÁGIL VALENCIA-LA SENYERA
1332|OFICINA ÁGIL 1332|4534|OF. ÁGIL ALICANTE-CHURRUCA
1333|OFICINA ÁGIL 1333|798|OF. ÁGIL ALCALÁ HENARES-J. AUSTRIA-
1335|OFICINA ÁGIL 1335|6375|OF. ÁGIL MADRID-ATOCHA
1337|OFICINA ÁGIL 1337|2930|OF. ÁGIL PARLA- BULEVAR NORTE
1338|OFICINA ÁGIL 1338|4897|OF. ÁGIL MADRID-CALLE MAYOR
1339|OFICINA ÁGIL 1339|3526|OF. ÁGIL COSLADA-CC LA RAMBLA
1340|OFICINA ÁGIL 1340|932|OF. ÁGIL ALCOBENDAS-CONSTIT.-AV. ES
1341|OFICINA ÁGIL 1341|2457|OF. ÁGIL LEGANÉS-ALCARRIA
1342|OFICINA ÁGIL 1342|1159|OF. ÁGIL LOGROÑO-GRAN VÍA-LABRADORE
1343|OFICINA ÁGIL 1343|6881|OF. ÁGIL VALENCIA-CONCHITA PIQUER
1344|OFICINA ÁGIL 1344|4107|OF. ÁGIL MATARÓ-RAMON BERENGUER
1345|OFICINA ÁGIL 1345|5660|OF. ÁGIL MADRID-Pº STA. MARÍA CABEZ
1349|OFICINA ÁGIL 1349|5806|OF. ÁGIL S. FDO. DE HENARES-PL. AYT
1350|OFICINA ÁGIL 1350|6100|OF. ÁGIL ARGANDA DEL REY-PL CONSTIT
1351|OFICINA ÁGIL 1351|6364|OF. ÁGIL VALENCIA-LA PLATA
1352|OFICINA ÁGIL 1352|1955|OF. ÁGIL LOGROÑO-PLAZA LA PAZ
1353|OFICINA ÁGIL 1353|3962|OF. ÁGIL LAS PALMAS GC-TRIANA
