DD_LOC_ID|MUNICIPIO BBVA
1764|ALGAR
2852|ALGAR DE MESA
6993|ALGAR DE PALANCIA
2680|ALGARINEJO
2224|ALGARRA
4459|ALGARROBO
4460|ALGATOCIN
1765|ALGECIRAS
6994|ALGEMESI
3819|ALGERRI
4284|ALGETE
6995|ALGIMIA DE ALFARA
1812|ALGIMIA DE ALMONACID
6996|ALGINET
1766|ALGODONALES
7573|ALGODRE
2853|ALGORA
150|ALGORFA
3820|ALGUAIRE
4562|ALGUAZAS
151|ALGUEÑA
289|ALHABIA
290|ALHAMA DE ALMERIA
7836|ALHAMA DE ARAGON
2681|ALHAMA DE GRANADA
4563|ALHAMA DE MURCIA
1950|ALHAMBRA
4461|ALHAURIN DE LA TORRE
4462|ALHAURIN EL GRANDE
2682|ALHENDIN
2854|ALHONDIGA
1559|ALIA
6541|ALIAGA
2225|ALIAGUILLA
152|ALICANTE/ALACANT
291|ALICUN
2683|ALICUN DE ORTEGA
3595|ALIJA DEL INFANTADO
3821|ALINS
6353|ALIO
2855|ALIQUE
1560|ALISEDA
6173|ALIUD
3216|ALJARAQUE
638|ALJUCEN
3133|ALKIZA
4964|ALLANDE
4872|ALLARIZ
6542|ALLEPUZ
4965|ALLER
4609|ALLIN/ALLIN
4610|ALLO
6543|ALLOZA
6544|ALLUEVA
3822|ALMACELLES
4463|ALMACHAR
1951|ALMADEN
6063|ALMADEN DE LA PLATA
1952|ALMADENEJOS
2856|ALMADRONES
1953|ALMAGRO
6174|ALMAJANO
6175|ALMALUEZ
60|ALMANSA
3596|ALMANZA
1561|ALMARAZ
7574|ALMARAZ DE DUERO
2226|ALMARCHA, LA
4464|ALMARGEN
6176|ALMARZA
4046|ALMARZA DE CAMEROS
6997|ALMÀSSERA
3823|ALMATRET
6177|ALMAZAN
1813|ALMAZORA/ALMASSORA
6178|ALMAZUL
1814|ALMEDIJAR
1954|ALMEDINA
2046|ALMEDINILLA
2684|ALMEGIJAR
7575|ALMEIDA DE SAYAGO
3824|ALMENAR
6179|ALMENAR DE SORIA
1815|ALMENARA
7239|ALMENARA DE ADAJA
5355|ALMENARA DE TORMES
5356|ALMENDRA
639|ALMENDRAL
6772|ALMENDRAL DE LA CAÑADA
640|ALMENDRALEJO
3217|ALMENDRO, EL
2227|ALMENDROS
6064|ALMENSILLA
292|ALMERIA
6998|ALMISERÀ
7837|ALMOCHUEL
293|ALMOCITA
1955|ALMODOVAR DEL CAMPO
2228|ALMODOVAR DEL PINAR
2047|ALMODOVAR DEL RIO
4465|ALMOGIA
2857|ALMOGUERA
6545|ALMOHAJA
1562|ALMOHARIN
6999|ALMOINES
