    ASU_ID;ASU_NOMBRE                                                                                                                                            ;ESTADO    ;CONTRATO                                          ;CONTRATO_ANTERIOR                                 ;SUBCARTERA                                        ;CARTERA                                                                                                                                                                                                                                                   ;CEDENTE                                                                                                                                                                                                                                                   ;DD_TAS_DESCRIPCION                                                                                                                                    ;    PRC_ID;DD_TPO_DESCRIPCION                                                                                                                                    ;FECHA_ENVIO                             ;FECHA_PRESENTACION                      ;FECHA_RESULTADO                         ;RESULTADO                               ;MOTIVO_REQUERIMIENTO                                                                                ;DENEGACION                              ;FECHA_SOLUCION                          ;NUM_AUTOS                                         ;PLAZA                                                                                                                                                 ;JUZGADO                                                                                                                                                                                                                                                                                                               
       229;229 | B17634494 PLAÇA FLORAC S.L.                                                                                                                     ;Cerrado   ;052020171000000000000543751000000000000000        ;B_01826773089500000046910486000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
       230;230 | B18685859 ANMEJOSAN S.L.                                                                                                                        ;Aceptado  ;052020171000000000000502955000000000000000        ;B_01823558089500000046858159000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1633;T. de sucesión procesal                                                                                                                               ;2017-10-31                              ;2017-10-31                              ;2017-11-09                              ;Aceptada                                ;                                                                                                    ;                                        ;                                        ;00391/2017                                        ;PTDO. JUDICIAL SANTA FE                                                                                                                               ;JUZGADO 1 INST E INSTRUCC. 2                                                                                                                                                                                                                                                                                          
       231;231 | B19137363 GEPROLAR PROMOCIONES INMOBILIARIAS                                                                                                    ;Aceptado  ;052020171000000000000566752000000000000000        ;B_01826736097400000010092852000092852             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1707;T. de sucesión procesal                                                                                                                               ;2017-11-06                              ;2017-11-06                              ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;00437/2012                                        ;PTDO. JUDICIAL GUADALAJARA                                                                                                                            ;JUZGADO 1 INSTANCIA 6                                                                                                                                                                                                                                                                                                 
       232;232 | B36462299 PROMOFERIN S.L.                                                                                                                       ;Aceptado  ;052020171000000000000501155000000000000000        ;B_01823554089500000045293408000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1735;T. de sucesión procesal                                                                                                                               ;2017-09-29                              ;2017-09-29                              ;2017-11-30                              ;Aceptada                                ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
       233;233 | B37390903 ACCIONES CONSTRUCTIVAS PARA EL DES                                                                                                    ;Aceptado  ;052020171000000000000524751000000000000000        ;B_01826741089500000050042809000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1622;T. de sucesión procesal                                                                                                                               ;2017-10-30                              ;2017-10-31                              ;2017-11-16                              ;Aceptada                                ;                                                                                                    ;                                        ;                                        ;00146/2017                                        ;PTDO. JUDICIAL SALAMANCA                                                                                                                              ;JUZGADO DE INSTRUCCION Nº1 DE SALAMANCA Nº-001                                                                                                                                                                                                                                                                        
       234;234 | B39580519 PROMOCIONES CANTABRAS DEL VALLE DE                                                                                                    ;Cerrado   ;052020171000000000000557751000000000000000        ;B_01826793089500000044122151000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;          ;                                                                                                                                                      ;                                        ;                                        ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
       235;235 | B45538618 PROMOCIONES Y CONSTRUCCIONES TALAV                                                                                                    ;Aceptado  ;052020171000000000000515858000000000000000        ;B_01826736089500000045021944000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1727;T. de sucesión procesal                                                                                                                               ;2017-10-25                              ;2017-10-25                              ;2018-01-26                              ;Aceptada                                ;                                                                                                    ;                                        ;                                        ;00148/2015                                        ;PTDO. JUDICIAL TALAVERA DE LA REINA                                                                                                                   ;JUZGADO 1 INST E INSTRUCC. 1                                                                                                                                                                                                                                                                                          
       236;236 | B53446191 Bahía Activos, S.L.                                                                                                                   ;Aceptado  ;011114045043845639000000000000000000000000        ;B_01826768089500000043845639000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1814;T. de sucesión procesal                                                                                                                               ;2017-11-06                              ;2017-11-06                              ;2017-11-21                              ;Denegada                                ;                                                                                                    ;Otros                                   ;                                        ;01488/2015                                        ;PTDO. JUDICIAL BENIDORM                                                                                                                               ;JUZGADO 1ª INSTANCIA 4                                                                                                                                                                                                                                                                                                
       237;237 | B53824652 PROMOCIONES SAN JOSE SUCH S.L.                                                                                                        ;Aceptado  ;052020171000000000000530550000000000000000        ;B_01826768089500000045288061000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1703;T. de sucesión procesal                                                                                                                               ;2017-10-30                              ;2017-11-02                              ;2018-01-09                              ;Aceptada                                ;                                                                                                    ;                                        ;                                        ;00705/2016                                        ;PTDO. JUDICIAL BENIDORM                                                                                                                               ;JUZGADO 1ª INSTANCIA 4                                                                                                                                                                                                                                                                                                
       238;238 | B53845954 BRONCOS JCD S.L.                                                                                                                      ;Aceptado  ;011114045045478751000000000000000000000000        ;B_01826768089500000045478751000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1648;T. de sucesión procesal                                                                                                                               ;2017-10-31                              ;2017-11-02                              ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
       239;239 | B61373213 RAMA GUILLEN ROS INMOBILIARIA S.L.                                                                                                    ;Aceptado  ;052020171000000000000527259000000000000000        ;B_01826768089500000044443185000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1798;T. de sucesión procesal                                                                                                                               ;2017-10-31                              ;2017-11-02                              ;2018-03-01                              ;Requerimiento                           ;Acreditar inscripción en R.P.                                                                       ;                                        ;                                        ;00219/2010                                        ;PTDO. JUDICIAL LORCA                                                                                                                                  ;JUZGADO 1 INST E INSTRUCC. 6                                                                                                                                                                                                                                                                                          
       240;240 | B65072068 VIVES LLULL 117 S.L.                                                                                                                  ;Aceptado  ;052020171000000000000540856000000000000000        ;B_01826772089500000046028555000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1844;T. de sucesión procesal                                                                                                                               ;2017-10-30                              ;2017-10-31                              ;2017-11-13                              ;Aceptada                                ;                                                                                                    ;                                        ;                                        ;                                                  ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
       241;241 | B92258078 CONSTRUCCIONES BRAVO SALAZAR S.L.                                                                                                     ;Aceptado  ;052020171000000000000506253000000000000000        ;B_01823559089500000045835197000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      2071;T. de sucesión procesal                                                                                                                               ;2017-11-22                              ;2017-11-22                              ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;00762/2017                                        ;                                                                                                                                                      ;                                                                                                                                                                                                                                                                                                                      
       261;261 | A40184210 PROYECTOS Y PROMOCIONES CONTISHA S                                                                                                    ;Aceptado  ;052020171000000000000524058000000000000000        ;B_01826741089500000050002209000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1757;T. de sucesión procesal                                                                                                                               ;2017-10-31                              ;2017-10-18                              ;2017-11-15                              ;Aceptada                                ;                                                                                                    ;                                        ;                                        ;00065/2017                                        ;PTDO. JUDICIAL SEGOVIA                                                                                                                                ;JUZGADO 1 INST E INSTRUCC. 1                                                                                                                                                                                                                                                                                          
       262;262 | B62845607 PROGENCAT, S.L.                                                                                                                       ;Aceptado  ;052020171000000000000540153000000000000000        ;B_01826772089500000044917206000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      2160;T. de sucesión procesal                                                                                                                               ;2017-11-24                              ;2017-11-28                              ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;00211/2017                                        ;PTDO. JUDICIAL MANRESA                                                                                                                                ;JUZGADO 1 INST E INSTRUCC. 8                                                                                                                                                                                                                                                                                          
       262;262 | B62845607 PROGENCAT, S.L.                                                                                                                       ;Aceptado  ;052020171000000000000540054000000000000000        ;B_01826772089500000044917168000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      2160;T. de sucesión procesal                                                                                                                               ;2017-11-24                              ;2017-11-28                              ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;00211/2017                                        ;PTDO. JUDICIAL MANRESA                                                                                                                                ;JUZGADO 1 INST E INSTRUCC. 8                                                                                                                                                                                                                                                                                          
       263;263 | B73499394 PROYECTOS CARRASCOYS.L.                                                                                                               ;Aceptado  ;052020171000000000000528356000000000000000        ;B_01826768089500000045561721000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1752;T. de sucesión procesal                                                                                                                               ;2017-10-30                              ;2017-11-02                              ;2017-11-27                              ;Aceptada                                ;                                                                                                    ;                                        ;                                        ;00035/2013                                        ;PTDO. JUDICIAL CARAVACA DE LA CRUZ                                                                                                                    ;JUZGADO 1 INST E INSTRUCC. 1                                                                                                                                                                                                                                                                                          
       263;263 | B73499394 PROYECTOS CARRASCOYS.L.                                                                                                               ;Aceptado  ;052020171000000000000528455000000000000000        ;B_01826768089500000045566897000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1752;T. de sucesión procesal                                                                                                                               ;2017-10-30                              ;2017-11-02                              ;2017-11-27                              ;Aceptada                                ;                                                                                                    ;                                        ;                                        ;00035/2013                                        ;PTDO. JUDICIAL CARAVACA DE LA CRUZ                                                                                                                    ;JUZGADO 1 INST E INSTRUCC. 1                                                                                                                                                                                                                                                                                          
       264;264 | A63608319 INMOPROGESA S.A.                                                                                                                      ;Aceptado  ;052020171000000000000542258000000000000000        ;B_01826772089500000046970821000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      2360;T. de sucesión procesal                                                                                                                               ;2017-10-04                              ;2017-10-04                              ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;                                                  ;PTDO. JUDICIAL BARCELONA                                                                                                                              ;JUZGADO 1 INSTANCIA 33                                                                                                                                                                                                                                                                                                
       265;265 | B14028179 CONMOVISA EMPRESA CONSTRUCTORA S.L                                                                                                    ;Aceptado  ;052020171000000000000550459000000000000000        ;B_01826778089500000045817787000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1860;T. de sucesión procesal                                                                                                                               ;2017-10-30                              ;2017-10-31                              ;2017-11-08                              ;Aceptada                                ;                                                                                                    ;                                        ;                                        ;00260/2017                                        ;PTDO. JUDICIAL CÓRDOBA                                                                                                                                ;JUZGADO 1 INSTANCIA 4                                                                                                                                                                                                                                                                                                 
       266;266 | B91310326 FABRE DOMINGUEZ CONSTRUCCIONES S.L                                                                                                    ;Aceptado  ;052020171000000000000559450000000000000000        ;B_01826794089500000045194767000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1702;T. de sucesión procesal                                                                                                                               ;2017-10-30                              ;2017-10-31                              ;2017-11-03                              ;Aceptada                                ;                                                                                                    ;                                        ;                                        ;01214/2010                                        ;PTDO. JUDICIAL SEVILLA                                                                                                                                ;JUZGADO MERCANTIL 1                                                                                                                                                                                                                                                                                                   
       267;267 | A10292688 MOLQUESA CACERES S.A.                                                                                                                 ;Aceptado  ;052020171000000000000543959000000000000000        ;B_01826774089500000045607137000000000             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      1776;T. de sucesión procesal                                                                                                                               ;2017-10-30                              ;2017-10-31                              ;2017-11-14                              ;Aceptada                                ;                                                                                                    ;                                        ;                                        ;00218/2013                                        ;PTDO. JUDICIAL CÁCERES                                                                                                                                ;JUZGADO 1 INST E INSTRUCC. 6                                                                                                                                                                                                                                                                                          
       268;268 | B04370938 C Y R SANCHEZ DEL RIO, S.L.                                                                                                           ;Aceptado  ;052020171000000000000567354000000000000000        ;B_01826769097400000010008938000008938             ;Jaipur                                            ;JAIPUR                                                                                                                                                                                                                                                    ;BBVA                                                                                                                                                                                                                                                      ;Litigio                                                                                                                                               ;      2359;T. de sucesión procesal                                                                                                                               ;2017-10-31                              ;2017-10-31                              ;                                        ;                                        ;                                                                                                    ;                                        ;                                        ;01049/2013                                        ;PTDO. JUDICIAL ALMERÍA                                                                                                                                ;JUZGADO 1 INSTANCIA 3                                                                                                                                                                                                                                                                                                 
