ID_HAYA,ID_CAIXA,ESTADO_PUBLICACION_VENTA,ESTADO_PUBLICACION_ALQUILER,MOTIVO_VENTA,MOTIVO_ALQUILER
5938796,89006054,04,01,01,
5952565,89006055,04,01,01,
5953477,89006093,01,04,,01
5931251,89006056,01,01,,
5945427,89006057,03,01,,
5938351,89006059,01,01,,
5965067,89006060,04,01,01,
5936017,89006061,01,01,,
5930936,89000000,04,01,01,
5949683,89006064,04,01,01,
5966000,89006065,04,01,01,
5952157,89006067,01,01,,
5930282,89006068,01,01,,
5929676,89006069,04,01,01,
5925856,89006070,04,01,12,
5947193,89006095,01,04,,01
5966426,89006097,04,01,01,
5931936,89006071,04,01,01,
5956393,89006072,04,01,01,
5944478,89006127,01,04,,01
5960178,89006128,04,01,01,
5942067,89006130,03,01,,
5962323,89006132,04,01,01,
5951476,89006134,01,01,,
5944449,89006136,03,01,,
5961862,89006139,03,01,,
5927277,89006104,03,01,,
5944164,89006106,03,01,,
5962515,89006108,04,01,01,
5957105,89006110,04,01,01,
5933684,89006112,04,01,01,
5936382,89006115,04,01,01,
5956346,89006118,03,01,,
5952044,89006120,01,04,,01
5937433,89006125,03,01,,
5948946,89000001,04,01,07,
5943595,89006123,03,01,,
5931095,89006159,04,01,01,
5955410,89006167,03,01,,
5928014,89006160,03,01,,
5964046,89006161,03,01,,
5944032,89006163,01,04,,01
5949970,89006169,04,01,01,
5946401,89006148,01,04,,01
5966219,89006171,01,04,,01
5948526,89006196,01,04,,01
5937252,89006151,04,04,01,01
5946084,89006173,01,04,,01
5960630,89006174,01,01,,
5956330,89006177,03,01,,
5937225,89006152,01,04,,01
5945584,89006153,03,01,,
5930658,89006179,01,04,,01
5955866,89006154,01,04,,01
5950755,89006180,01,04,,01
5944708,89006140,01,04,,01
5957073,89006164,01,04,,01
5951915,89006182,03,01,,
5925259,89006184,04,01,01,
5929622,89006142,04,01,01,
5959157,89006155,04,04,01,01
5967519,89000003,03,01,,
5940219,89000002,04,01,07,
5943796,89006156,04,01,01,
5952637,89006166,04,01,01,
5966139,89006145,04,01,01,
5950472,89006157,01,04,,01
5944600,89006146,01,04,,01
5935120,89006158,01,04,,01
5944279,89006186,04,01,01,
5926106,89006188,03,01,,
5946561,89006190,01,04,,01
5951457,89006304,04,01,01,
5945250,89006259,04,01,01,
5949103,89006263,01,04,,01
5928005,89006218,03,01,,
5962589,89006220,01,04,,01
5953983,89006221,01,04,,01
5956426,89006276,01,04,,01
5955856,89006225,01,04,,01
5943728,89006267,01,04,,01
5966847,89006229,01,04,,01
5945366,89006271,01,04,,01
5932900,89006199,01,04,,01
5956645,89006202,01,01,,
5930397,89006281,01,04,,01
5967239,89006232,01,04,,01
5968182,89006235,04,01,01,
5925320,89006283,04,01,01,
5949856,89006285,01,04,,01
5959010,89006203,03,01,,
5945940,89006241,03,01,,
5967288,89006246,03,01,,
5929649,89006273,01,04,,01
5955277,89006291,03,01,,
5951183,89006205,01,04,,01
5933113,89006249,04,01,12,
5927417,89006251,01,04,,01
5962821,89006292,01,04,,01
6072116,89000004,04,01,01,
5933277,89006297,01,04,,01
5944624,89006254,04,04,01,01
5942501,89006210,04,01,01,
5942153,89006300,04,01,01,
5929965,89006257,03,01,,
5925541,89006302,01,04,,01
5941027,89006368,01,04,,01
5948993,89006406,03,01,,
5969695,89006450,01,04,,01
5963275,89006412,01,04,,01
5928557,89006409,03,01,,
5969084,89006460,01,04,,01
5931102,89006464,04,01,01,
5933192,89006415,01,04,,01
5954117,89000009,03,04,,
5951959,89006426,04,01,01,
5942276,89006336,03,01,,
5944012,89006429,01,04,,01
5933084,89006372,01,04,,01
5941370,89006375,01,04,,01
5931408,89006432,01,04,,01
5933061,89006379,01,04,,01
5958240,89006316,01,01,,
5966461,89006318,01,04,,01
5954078,89006321,01,04,,01
5938778,89006347,01,04,,01
5970026,89006353,01,01,,
5944637,89006324,01,04,,01
5948883,89006357,01,04,,01
5947034,89006393,01,04,,01
5951708,89006359,04,01,01,
5949727,89006436,01,04,,01
5963539,89006333,01,04,,01
5936748,89006397,01,04,,01
5940851,89006444,01,04,,01
5926372,89000011,03,01,,
5956806,89006366,01,04,,01
5948020,89006403,01,04,,01
5967329,89006449,01,04,,01
5939768,89006541,03,01,,
5937904,89006606,01,04,,01
5965081,89006499,04,01,12,
5934104,89006502,04,01,01,
5949339,89006544,04,04,01,14
5967055,89006612,01,04,,01
5931050,89006578,01,04,,01
5970015,89006580,01,04,,01
5966882,89006314,01,04,,01
5925447,89006507,01,04,,01
5937996,89006509,04,01,01,
5949965,89006550,01,04,,01
5928348,89006512,04,01,01,
5965352,89006516,04,01,01,
5961623,89006517,03,01,,
5944349,89006554,01,04,,01
5966333,89006558,04,01,01,
5930535,89006561,04,01,01,
5949506,89006586,01,04,,01
5945691,89006484,03,01,,
5969416,89006592,04,01,01,
5946322,89006488,01,04,,01
5927727,89006567,03,01,,
5935999,89000015,03,01,,
5955481,89006594,04,01,01,
5964073,89006523,04,01,01,
5966264,89006575,01,04,,01
5936348,89006492,03,01,,
5926658,89006497,01,04,,01
5943634,89006598,01,04,,01
5940472,89006604,01,04,,01
5944541,89006527,04,01,01,
5961232,89006533,04,01,01,
