NUM_ACTIVO_HAYA|NUM_OFERTA_REM|FECHA_INGRE_CHEQUE_REM|PRINEX_FECHA_CONTABLE_VENTA
6043527|70798189||17/11/2017
6043543|64528925||14/06/2017
6043547|64882286||16/05/2017
6043549|68329498||28/11/2017
6043552|68329498||28/11/2017
6043555|90001790||12/12/2017
6043578|58674699||20/04/2017
6043596|90000310||15/12/2017
6043612|56982235||21/06/2016
6043617|58411929||27/01/2017
6043623|66798209||17/07/2017
6043624|66798209||17/07/2017
6043629|65315851||07/04/2017
6043634|52176744||21/01/2016
6043646|69440781||21/09/2017
6043648|90001653||13/12/2017
6043649|66734204||05/05/2017
6043661|66515089||24/05/2017
6043666|65951674||22/06/2017
6043668|63075004||15/03/2017
6043678|57862754||18/11/2016
6043683|67689185||14/06/2017
6043684|66000347||21/07/2017
6043703|61280114||25/01/2017
6043704|62451232||20/02/2017
6043709|65105163||15/06/2017
6043727|66749047||26/06/2017
6043728|65887369||20/06/2017
6043731|62604813||17/04/2017
6043735|65903928||23/05/2017
6043736|65903928||23/05/2017
6043748|65881393||26/07/2017
6043754|61771362||12/06/2017
6043757|67801147||09/08/2017
6043760|71649751||13/12/2017
6043769|63666527||23/06/2017
6043788|69982323||25/09/2017
6043790|69415500||24/08/2017
6043791|57503006||13/12/2016
6043792|71558857||08/11/2017
6043818|57152877||23/11/2016
6043837|71177663||23/10/2017
6043840|63075004||15/03/2017
6043843|63184146||16/05/2017
6043846|66734204||05/05/2017
6043847|66734204||05/05/2017
6043849|61202842||19/12/2016
6043864|71525389||14/12/2017
6043865|62407241||20/06/2017
6043877|70873455||24/10/2017
6043882|71070032||23/10/2017
6043890|61941297||13/03/2017
6043895|52177539||25/01/2016
6043902|90001722||18/12/2017
6043911|57787254||30/05/2017
6043918|57447376||11/07/2016
6043947|56361311||25/08/2016
6043956|61396495||23/05/2017
6043958|61038865||22/02/2017
6043961|62724178||21/02/2017
6043966|71855605||13/12/2017
6043967|63982173||11/05/2017
6043970|90001879||16/11/2017
6043986|62237784||15/02/2017
6043995|64430998||18/04/2017
6043996|62926290||14/03/2017
6075832|66027297||16/06/2017
6075838|68130537||21/08/2017
6075850|57915943||14/11/2016
6075851|62100042||23/03/2017
6075855|66140278||09/06/2017
6075868|71839173||14/11/2017
6075870|66057281||22/06/2017
6075871|64517847||20/04/2017
6075910|67063342||21/07/2017
6075931|70857275||19/10/2017
6075938|65984773||21/06/2017
6075939|90001693||15/12/2017
6075941|56425939||07/09/2016
6075942|69010102||18/08/2017
6075943|69010102||18/08/2017
6075944|69010102||18/08/2017
6075945|69010102||18/08/2017
6075946|69010102||18/08/2017
6075947|69010102||18/08/2017
6075948|69010102||18/08/2017
6075949|69010102||18/08/2017
6075950|69010102||18/08/2017
6075973|90000866||19/12/2017
6075979|66389817||06/10/2017
6075981|69140236||18/08/2017
6075983|60588936||10/02/2017
6075984|57371974||08/06/2016
6075985|62491257||12/05/2017
6075989|62824336||13/03/2017
6075990|66626325||20/06/2017
6076005|66864572||14/06/2017
6076008|60960932||30/01/2017
6076023|62788290||17/03/2017
6076024|67657502||14/09/2017
6076025|63553836||25/05/2017
6076026|69136163||26/07/2017
6076027|63553836||25/05/2017
6076028|61017980||10/02/2017
6076037|64032720||11/05/2017
6076040|66718258||20/06/2017
6076049|59956702||16/12/2016
6076052|69766448||24/08/2017
6076054|66902666||08/11/2017
6076058|64189832||13/06/2017
6076059|71647082||13/11/2017
6076064|58924244||20/01/2017
6076080|66969542||21/07/2017
6076081|66113992||11/07/2017
6076085|65990787||24/05/2017
6076087|66113524||26/06/2017
6076102|57917902||23/11/2016
6076125|65488054||08/08/2017
6076137|90002330||21/11/2017
