ID_ASUNTO_RCV|TIPO_ASUNTO|NUMERO_ACTIVO
6000000000000022|Concursal|7317819
6000000000000022|Concursal|7317825
6000000000000022|Concursal|7317857
6000000000000022|Concursal|7317790
6000000000000022|Concursal|7317937
6000000000000022|Concursal|7317962
6000000000000022|Concursal|7317908
6000000000000022|Concursal|7317943
6000000000000022|Concursal|7317911
6000000000000022|Concursal|7453967
6000000000000022|Concursal|7317797
6000000000000022|Concursal|7317836
6000000000000022|Concursal|7317850
6000000000000022|Concursal|7317806
6000000000000022|Concursal|7317820
6000000000000022|Concursal|7317791
6000000000000022|Concursal|7317832
6000000000000022|Concursal|7449787
6000000000000022|Concursal|7317830
6000000000000022|Concursal|7317793
6000000000000022|Concursal|7317816
6000000000000022|Concursal|7317964
6000000000000022|Concursal|7317932
6000000000000022|Concursal|7317935
6000000000000022|Concursal|7317925
6000000000000022|Concursal|7317903
6000000000000022|Concursal|7317906
6000000000000022|Concursal|7317926
6000000000000022|Concursal|7317934
6000000000000022|Concursal|7317900
6000000000000022|Concursal|7317852
6000000000000022|Concursal|7317855
6000000000000022|Concursal|7317846
6000000000000022|Concursal|7317799
6000000000000022|Concursal|7317828
6000000000000022|Concursal|7317849
6000000000000022|Concursal|7317851
6000000000000022|Concursal|7317792
6000000000000022|Concursal|7453194
6000000000000022|Concursal|7317829
6000000000000022|Concursal|7455375
6000000000000022|Concursal|7454328
6000000000000022|Concursal|7317848
6000000000000022|Concursal|7317837
6000000000000022|Concursal|7317924
6000000000000022|Concursal|7317947
6000000000000022|Concursal|7317921
6000000000000022|Concursal|7317916
6000000000000022|Concursal|7317945
6000000000000022|Concursal|7452673
6000000000000022|Concursal|7447973
6000000000000022|Concursal|7317856
6000000000000022|Concursal|7317839
6000000000000022|Concursal|7317841
6000000000000022|Concursal|7317845
6000000000000022|Concursal|7317858
6000000000000022|Concursal|7317821
6000000000000022|Concursal|7453956
6000000000000022|Concursal|7317954
6000000000000022|Concursal|7317904
6000000000000022|Concursal|7317910
6000000000000022|Concursal|7317922
6000000000000022|Concursal|7317940
6000000000000022|Concursal|7317953
6000000000000022|Concursal|7317933
6000000000000022|Concursal|7317909
6000000000000022|Concursal|7317915
6000000000000022|Concursal|7317946
6000000000000022|Concursal|7317952
6000000000000022|Concursal|7317927
6000000000000022|Concursal|7317929
6000000000000022|Concursal|7317931
6000000000000022|Concursal|7317961
6000000000000022|Concursal|7317794
6000000000000022|Concursal|7453964
6000000000000022|Concursal|7448470
6000000000000022|Concursal|7317831
6000000000000022|Concursal|7317853
6000000000000022|Concursal|7317844
6000000000000022|Concursal|7454137
6000000000000022|Concursal|7317822
6000000000000022|Concursal|7451832
6000000000000022|Concursal|7454856
6000000000000022|Concursal|7317951
