ACT_NUM_ACTIVO;ACT_LLAVES_FECHA_RECEP;ACT_LLAVES_HRE;ACT_LLAVES_NECESARIAS;ACT_LLAVES_NUM_JUEGOS
6788837;;0;0;4
6988714;;0;0;4
6988664;;0;0;11
6967307;;0;0;4
7056256;;0;0;1
7056256;;0;0;1
5953246;;0;0;8
5968396;;0;0;2
7034935;;0;0;2
7295515;;0;0;6
7042280;;0;0;1
7226974;;0;0;6
7053438;;0;0;2
7017688;;0;0;0
7034916;;0;0;0
7053442;;0;0;2
6945156;;0;0;4
6945156;;0;0;4
6945156;;0;0;4
6945156;;0;0;4
6058466;;0;0;3
7053441;;0;0;2
7053440;;0;0;1
7053439;;0;0;2
5956781;;0;0;4
6035828;;0;0;2
7016573;;0;0;6
7100232;;0;0;5
7100232;;0;0;5
5970108;;0;0;6
5969977;;0;0;5
7038937;;0;0;0
5950827;;0;0;3
7038171;;0;0;0
6782918;;0;0;3
6959584;;0;0;5
7038938;;0;0;0
7048657;;0;0;0
7039587;;0;0;0
7041088;;0;0;0
7041089;;0;0;0
5948658;;0;0;5
7041090;;0;0;0
7041091;;0;0;0
7041092;;0;0;0
7041093;;0;0;0
5929498;;0;0;6
7041094;;0;0;0
7041095;;0;0;0
7041096;;0;0;0
7041910;;0;0;0
5935417;;0;0;6
7042171;;0;0;0
5951448;;0;0;5
6831711;;0;0;8
6943766;;0;0;5
7030750;;0;0;5
5960965;;0;0;3
5945751;;0;0;4
6521029;;0;0;3
7016571;;0;0;4
7295144;;0;0;6
7101285;;0;0;6
7034512;;0;0;1
6803500;;0;0;6
7034570;;0;0;1
7037783;;0;0;1
7037784;;0;0;1
6988305;;0;0;7
7037962;;0;0;1
7033143;;0;0;0
6960818;;1;0;9
6960818;;1;0;9
6960818;;1;0;9
6991696;;1;0;1
6981696;;1;0;4
6981696;;1;0;4
6981696;;0;0;4
6884400;;0;0;7
7058331;;0;0;0
7047076;;1;0;5
7047076;;1;0;5
7047076;;1;0;5
7047076;;1;0;5
7036729;;1;0;5
7036729;;1;0;5
7036729;;1;0;5
7036729;;1;0;5
7036729;;1;0;5
7046797;;1;0;13
7046797;;1;0;13
7046797;;1;0;13
7046797;;1;0;13
6993615;;0;0;4
6980601;;0;0;6
6980601;;0;0;6
6980601;;0;0;6
5925594;;0;0;6
6980862;;0;0;5
6980862;;0;0;5
6980862;;0;0;5
6980862;;0;0;5
