294646|VI|02|ACT
294647|VI|02|ACT
294648|VI|02|ACT
294649|VI|01|ACT
294650|GA|02|ACT
294651|VI|02|ACT
294652|ED|02|ACT
294653|SU|03|ACT
294654|SU|03|ACT
294655|VI|02|ACT
294656|VI|02|ACT
294657|VI|02|ACT
294658|VI|02|ACT
294659|VI|02|ACT
294660|VI|02|ACT
294661|VI|02|ACT
294662|VI|02|ACT
294663|SU|03|ACT
294664|SU|03|ACT
294665|VI|02|ACT
294666|VI|02|ACT
294667|GA|02|ACT
294668|VI|02|ACT
294669|VI|02|ACT
294670|GA|02|ACT
294671|VI|01|ACT
294672|VI|01|ACT
294673|VI|02|ACT
294674|VI|02|ACT
294675|VI|02|ACT
294676|VI|02|ACT
294677|VI|02|ACT
294678|VI|02|ACT
294679|VI|02|ACT
294680|VI|02|ACT
294681|VI|02|ACT
294682|GA|02|ACT
294683|SU|03|ACT
294684|SU|03|ACT
294685|VI|02|ACT
294686|VI|02|ACT
294687|LO|02|ACT
294688|FR|03|ACT
294689|TR|02|ACT
294690|VI|02|ACT
294691|FR|03|ACT
294692|FR|03|ACT
294693|SU|03|ACT
294694|VI|02|ACT
294695|VI|02|ACT
294696|LO|02|ACT
294697|VI|02|ACT
294698|TR|02|ACT
294699|VI|01|ACT
294700|VI|02|ACT
294701|GA|02|ACT
294702|TR|02|ACT
294703|VI|01|ACT
294704|VI|01|ACT
294705|VI|02|ACT
294706|VI|02|ACT
294707|VI|02|ACT
294708|VI|02|ACT
294709|VI|02|ACT
294710|VI|02|ACT
294711|GA|02|ACT
294712|VI|02|ACT
294713|ED|02|ACT
294714|VI|02|ACT
294715|VI|02|ACT
294716|VI|02|ACT
294717|VI|02|ACT
294718|VI|02|ACT
294719|VI|02|ACT
294720|VI|02|ACT
294721|VI|02|ACT
294722|GA|02|ACT
294723|VI|01|ACT
294724|VI|02|ACT
294725|ED|02|ACT
294726|ED|02|ACT
294727|ED|01|ACT
294728|LO|02|ACT
294729|SU|03|ACT
294730|TR|02|ACT
294731|SU|03|ACT
294732|TR|02|ACT
294733|VI|02|ACT
294734|VI|02|ACT
294735|VI|02|ACT
294736|VI|02|ACT
294737|VI|02|ACT
294738|VI|02|ACT
294739|VI|02|ACT
294740|OF|02|ACT
294741|VI|02|ACT
294742|VI|02|ACT
294743|VI|02|ACT
294744|VI|02|ACT
294745|VI|02|ACT
294746|VI|02|ACT
294747|VI|02|ACT
294748|VI|02|ACT
294749|VI|02|ACT
294750|VI|02|ACT
294751|FR|03|ACT
294752|SU|03|ACT
294753|SU|03|ACT
294754|VI|02|ACT
294755|LO|02|ACT
294756|NA|02|ACT
294757|SU|03|ACT
294758|SU|03|ACT
294759|SU|03|ACT
294760|VI|02|ACT
