6081478|96900|2019-10-07|NULL
6745115|107405|2019-03-20|NULL
6076228|92651|2016-12-02|NULL
6711201|107146|2018-02-15|NULL
6081805|96663|2016-09-06|NULL
6081435|96868|2017-07-20|NULL
6823545|112948|2019-07-23|NULL
6823506|112967|2017-10-20|NULL
6823530|112966|2017-10-20|NULL
6711053|107095|2019-03-28|NULL
6711290|107115|2017-12-12|NULL
6823607|112888|2018-06-15|NULL
6346455|102530|2019-12-18|NULL
6782907|112814|2017-01-12|NULL
6346351|102477|2016-11-03|NULL
6354724|102637|2016-02-01|NULL
6346157|102534|2018-03-02|NULL
6076140|92563|2015-03-06|NULL
6076270|92478|2016-04-19|NULL
6076259|92467|2019-10-02|NULL
6076260|92468|2019-10-02|NULL
6525031|106764|2017-11-24|NULL
6819220|112549|2018-05-16|NULL
6135753|102172|2019-07-01|NULL
6134873|102147|2018-09-28|NULL
6781401|112607|2019-10-23|NULL
6134413|102099|2017-03-01|NULL
6781187|112593|2017-11-13|NULL
6133866|101927|2019-04-16|NULL
6819151|112550|2018-06-21|NULL
6134827|101992|2019-02-04|NULL
6135216|101983|2017-01-17|NULL
6135888|101917|2019-02-21|NULL
6135814|101664|2017-02-15|NULL
6819014|112428|2019-10-23|NULL
6134460|101934|2018-05-07|NULL
6134479|101866|2016-11-14|NULL
6814642|112394|2019-06-06|NULL
6135078|101660|2016-10-18|NULL
6134403|101682|2016-11-04|NULL
6076460|92279|2017-10-30|NULL
6135526|101715|2016-06-28|NULL
6814519|112372|2019-05-02|NULL
6134843|101643|2017-02-02|NULL
6135411|101657|2016-10-18|NULL
6136774|101656|2016-10-18|NULL
6711473|106388|2019-07-17|NULL
6076764|91940|2014-06-08|NULL
6710948|106445|2019-03-28|NULL
6814522|112373|2019-05-02|NULL
6076545|92133|2018-10-03|NULL
6135482|101437|2017-09-13|NULL
6711409|106423|2016-10-20|NULL
6711170|106387|2017-02-03|NULL
6711433|106349|2019-11-28|NULL
6076911|91906|2015-07-22|NULL
6711313|106295|2018-02-14|NULL
6134428|101472|2017-07-14|NULL
6077060|91728|2015-01-27|NULL
6135746|101384|2018-02-12|NULL
6135452|101383|2018-02-12|NULL
6711151|106023|2017-01-12|NULL
6135130|101331|2018-01-11|NULL
6077192|91530|2015-07-14|NULL
6530080|105839|2019-01-23|NULL
6530050|105846|2018-11-15|NULL
6530042|105851|2018-11-14|NULL
6082802|95578|2016-01-28|NULL
6134383|101074|2019-03-01|NULL
6528252|105689|2018-10-24|NULL
6526867|105650|2018-12-04|NULL
6528256|105701|2017-09-27|NULL
6526866|105642|2016-10-04|NULL
6136835|100841|2015-05-28|NULL
6077830|95122|2018-11-06|NULL
6078019|95241|2019-03-22|NULL
6520971|105463|2019-05-22|NULL
6521025|105482|2017-09-20|NULL
6135721|100749|2016-11-28|NULL
6520113|105406|2017-09-28|NULL
6520947|105439|2019-02-11|NULL
6520369|105415|2018-02-15|NULL
6520361|105292|2016-05-06|NULL
6811731|110046|2017-02-21|NULL
6811805|110044|2017-02-21|NULL
6811707|110028|2017-07-27|NULL
6520278|105309|2016-06-23|NULL
6811695|110047|2017-02-21|NULL
6082853|100087|2017-01-24|NULL
6811759|110075|2017-09-12|NULL
6811798|110045|2017-02-21|NULL
6082852|100086|2017-01-24|NULL
6811785|110043|2017-02-21|NULL
6078293|94887|2015-01-19|NULL
6082921|100083|2017-05-22|NULL
6520202|105243|2017-02-24|NULL
6520314|105250|2018-05-03|NULL
6520127|105213|2017-01-31|NULL
6798912|109993|2017-09-26|NULL
6134715|105021|2019-01-17|NULL
6078354|94827|2016-07-05|NULL
6134131|104969|2017-09-12|NULL
6133848|105077|2016-11-03|NULL
6135193|105018|2018-06-13|NULL
6078651|94697|2017-07-05|NULL
6134179|104967|2017-09-12|NULL
6078403|94768|2015-07-02|NULL
6083179|99904|2017-11-17|NULL
6134691|104973|2017-09-12|NULL
6134231|104965|2017-09-12|NULL
6078566|94612|2016-02-19|NULL
6134871|104963|2017-09-12|NULL
6135156|104961|2017-09-12|NULL
6798422|109851|2018-09-21|NULL
6798430|109858|2013-11-08|NULL
6798397|109846|2019-04-11|NULL
6798401|109848|2017-10-18|NULL
6083320|99688|2019-01-10|NULL
6078565|94611|2016-02-19|NULL
6083375|99597|2016-03-02|NULL
6083373|99595|2016-03-02|NULL
6083374|99596|2016-03-02|NULL
6083559|99405|2015-01-15|NULL
6079106|94084|2016-05-27|NULL
6029060|78917|2011-10-21|NULL
6042699|78404|2014-03-12|NULL
6029052|78885|2012-05-08|NULL
6034838|78884|2012-05-08|NULL
6043569|76383|2011-05-16|NULL
