6955764|262173|274768|NULL|2017-12-20
6891866|264597|276832|NULL|2018-01-05
6891049|258297|270880|NULL|2018-08-21
6959539|262925|275325|NULL|2018-05-02
6962602|264171|276569|NULL|2018-10-15
6960322|263455|275909|NULL|2018-04-09
6960317|263452|275906|NULL|2018-04-09
6955772|262171|274766|NULL|2018-11-19
6889812|258118|270701|NULL|2019-06-25
6960316|263463|275917|NULL|2018-04-09
6950463|262573|275023|NULL|2018-04-04
6786848|109473|118587|NULL|2019-07-01
6955762|262188|274783|NULL|2017-02-27
6786813|109463|94679|NULL|2019-07-01
6786906|109469|112395|NULL|2019-07-01
6950549|261734|273370|NULL|2018-10-18
6950418|261592|273257|NULL|2019-05-15
6788354|109643|87974|NULL|2017-09-20
6889784|258074|270657|NULL|2018-04-03
6960846|263849|276315|NULL|2018-10-10
6786828|109467|106750|NULL|2019-07-01
6961809|264027|276368|NULL|2019-01-22
6945288|262166|274761|NULL|2017-12-21
6889725|258071|270654|NULL|2019-01-24
6889730|258070|270653|NULL|2019-01-10
6889732|258076|270659|NULL|2018-04-05
6889761|258121|270704|NULL|2019-08-28
6959556|263002|275418|NULL|2019-03-28
6890903|258223|270806|NULL|2018-03-23
6959951|263058|275481|NULL|2018-04-10
6889750|258075|270658|NULL|2018-06-11
6786857|109465|124508|NULL|2019-07-01
6950475|261584|273249|NULL|2018-06-07
6889785|258114|270697|NULL|2018-04-26
6889760|258073|270656|NULL|2018-06-01
6786812|109462|128214|NULL|2019-07-01
6786838|109468|128283|NULL|2019-07-01
6786901|109460|89323|NULL|2019-07-01
6942549|259435|271720|NULL|2019-03-04
6786831|109461|125138|NULL|2019-07-01
6950495|261529|273194|NULL|2018-05-31
6786811|109464|97854|NULL|2019-07-01
6786826|109466|126683|NULL|2019-07-01
6786836|109472|131588|NULL|2019-07-01
6945280|261065|272804|NULL|2018-07-25
6786898|109470|98810|NULL|2019-07-01
6786868|109459|126500|NULL|2019-07-01
6945226|260855|272626|NULL|2018-02-16
6786881|109471|110668|NULL|2019-07-01
6945230|260865|272636|NULL|2018-02-16
6940708|259363|271648|NULL|2018-05-03
6945316|261061|272800|NULL|2018-07-25
6942539|259341|271626|NULL|2018-07-26
6937875|257118|270041|NULL|2018-09-05
6945282|261059|272798|NULL|2018-09-28
6780625|109379|110435|NULL|2018-06-20
6945179|260850|272621|NULL|2018-02-16
6945209|260883|272654|NULL|2018-02-16
6942737|260359|272316|NULL|2019-03-15
6942747|260321|272278|NULL|2019-03-15
6945229|260859|272630|NULL|2018-02-16
6942558|259335|271620|NULL|2019-02-06
6945198|260854|272625|NULL|2018-02-16
6945214|260860|272631|NULL|2018-02-16
6946674|261102|272841|NULL|2018-04-20
6886865|257938|269566|NULL|2018-10-16
6945200|260856|272627|NULL|2018-02-16
6781406|109383|90564|NULL|1900-01-01
6937591|257132|270055|NULL|2018-04-11
6941091|259333|271618|NULL|2018-07-06
6942742|260319|272276|NULL|2018-02-20
6888735|257890|269518|NULL|2019-03-06
6934436|256804|269727|NULL|2019-01-30
6945157|260864|272635|NULL|2018-02-16
6942735|260366|272323|NULL|2019-03-15
6943578|260322|272279|NULL|2019-03-14
6136781|104576|109087|NULL|2015-06-12
6934683|258704|270591|NULL|2018-04-03
6934676|258698|270585|NULL|2018-07-02
6943573|260332|272289|NULL|2019-03-14
6943584|260315|272272|NULL|2019-03-14
6886859|257881|269509|NULL|2018-06-27
6885668|257723|269351|NULL|2018-05-16
6934625|256763|269686|NULL|2017-11-15
6885658|257715|269343|NULL|2018-05-25
6885663|257719|269347|NULL|2018-03-02
6934506|256824|269747|NULL|2018-04-03
6135091|104575|103718|NULL|2018-01-11
6135704|104553|124880|NULL|2016-02-11
6135292|104558|126438|NULL|2016-09-28
6780663|109013|131920|NULL|2018-02-06
6079110|94064|88141|NULL|2016-06-30
6780573|109009|116092|NULL|2017-07-15
6079137|94042|104317|NULL|1900-01-01
6134962|104496|125430|NULL|2019-10-22
6079260|93835|94335|NULL|2016-10-24
6079266|93841|124614|NULL|2016-10-24
6079170|94014|104172|NULL|2016-01-25
6079141|94046|121851|NULL|2010-10-01
6079264|93839|126530|NULL|2015-11-23
6079336|93951|92269|NULL|2016-02-17
6079288|93903|133487|NULL|2017-07-11
6079217|93886|129750|NULL|2016-03-15
6079327|93942|89588|NULL|2016-04-19
6079192|93990|95698|NULL|2016-06-20
6079167|94011|95065|NULL|2016-12-16
6079215|93884|88035|NULL|2014-09-06
6079290|93905|130474|NULL|2015-09-21
6079333|93948|108509|NULL|2016-02-11
6136569|104458|119688|NULL|2019-10-24
6079377|93818|101856|NULL|2017-10-05
6079216|93885|109944|NULL|2014-09-06
6136469|104457|123138|NULL|2019-10-24
6079297|93912|114888|NULL|2016-01-18
6079261|93836|121350|NULL|2016-10-24
6079372|93813|129773|NULL|2014-12-01
6079615|93544|111246|NULL|2014-06-19
6079221|93890|120207|NULL|2015-12-18
6079844|93773|101525|NULL|2017-04-27
6781003|108680|130695|NULL|2017-02-24
6079808|93737|120824|NULL|2016-04-26
6079388|93532|128861|NULL|1900-01-01
6079427|93517|108105|NULL|2016-10-27
6781203|108741|121056|NULL|2018-04-09
6079416|93506|121403|NULL|2016-01-18
6780659|108663|128838|NULL|2016-11-09
6780699|108706|122298|NULL|2017-07-20
6780767|108704|111275|NULL|2017-07-21
6079616|93545|101551|NULL|2014-11-25
6079422|93512|125169|NULL|2016-02-19
6083838|99159|89884|NULL|2019-10-25
6079394|93538|115092|NULL|2015-11-17
6079384|93528|130898|NULL|1900-01-01
6079430|93520|113393|NULL|2017-11-28
6079903|93264|119184|NULL|2015-03-13
6079448|93467|121832|NULL|2015-12-16
6079454|93473|120674|NULL|1900-01-01
6079496|93407|104917|NULL|2019-04-30
6079536|93308|94240|NULL|2016-05-06
6079522|93385|93555|NULL|2016-11-17
6079525|93388|116806|NULL|1900-01-01
6079524|93387|98030|NULL|2016-02-01
6080037|93226|95403|NULL|2017-12-14
6079515|93402|103464|NULL|2016-12-16
6079946|93235|91806|NULL|2016-09-22
6079566|93338|108018|NULL|2015-11-20
6079964|93153|88179|NULL|2015-11-25
6079574|93346|111649|NULL|2017-03-21
6079955|93167|104344|NULL|2017-01-18
6079947|93236|109813|NULL|2015-11-02
6079907|93268|100131|NULL|2016-05-03
6079892|93253|94608|NULL|2015-11-20
6080038|93227|128813|NULL|2015-02-11
6079891|93252|96032|NULL|2014-12-22
6079965|93154|114197|NULL|2016-09-29
6079905|93266|114447|NULL|2015-11-02
6080114|93075|90019|NULL|2016-06-15
6079973|93162|107882|NULL|2016-10-30
6079977|93141|90168|NULL|2016-11-14
6079943|93232|94377|NULL|2016-03-16
6079993|93182|120787|NULL|2016-09-19
6780911|108401|133690|NULL|2017-09-13
6079962|93174|109454|NULL|2015-10-13
6079276|93151|113424|NULL|2016-02-01
6084132|98835|119668|NULL|2016-04-27
6079954|93166|93336|NULL|2016-02-03
6079970|93159|97175|NULL|2015-07-20
6080115|93076|89387|NULL|2015-10-23
6080117|93078|130803|NULL|2016-04-25
6084267|98667|88610|NULL|2019-02-08
6084253|98701|107947|NULL|1900-01-01
6761277|108293|121407|NULL|2019-01-03
6760762|108264|106929|NULL|2019-10-17
6080204|92984|127570|NULL|1900-01-01
