ACT_NUM_ACTIVO;IMPORTE_TAS_VIGENTE;FECHA_TAS_VIGENTE
6855953;5169.78;2019-07-03
6855876;6347.37;2019-07-03
6883492;56349.85;2018-10-03
6874719;13186.01;2020-01-22
6874722;20830.53;2018-04-03
6853765;2275.16;2018-03-28
6825784;87107.00;2018-01-05
6853521;24237.50;2018-05-05
6853165;3354654.46;2019-11-08
6853975;107400.49;2017-01-09
6866712;29918.43;2019-05-22
6868240;29775.94;2019-05-22
6869300;45115.08;2019-05-22
6858846;36082.20;2019-04-12
6881335;3207.00;2018-06-30
6880531;3234.00;2018-06-30
6865150;4395.85;2017-12-18
6858760;50681.97;2019-09-18
6859467;42500.92;2019-09-18
6871111;81611.62;2019-05-25
6871601;236152.04;2017-01-25
6872209;511807.00;2018-06-30
6848046;91.05;2018-11-02
6865592;6026.16;2019-04-04
6869531;6273.53;2017-11-29
6870530;6273.53;2017-11-29
6859494;5896.80;2019-04-29
6879999;40683.04;2017-12-20
6879929;49702.94;2017-12-20
6855017;42689.50;2016-12-13
6877903;98060.56;2018-10-03
6880333;98392.00;2018-06-30
6851527;31182.48;2019-03-27
6883612;16824.08;2018-09-26
6856531;5646.72;2019-07-03
6876493;357339.37;2019-05-30
6878033;81370.00;2017-11-06
6875689;79245.00;2019-11-30
6877511;6723.09;2019-04-05
6854024;32175.53;2018-09-18
6850827;61943.73;2018-05-02
6877518;1819.01;2017-06-20
6874689;83132.60;2019-03-19
6870557;7475.00;2019-07-01
6874427;81431.07;2019-04-13
6855875;5050.35;2019-07-03
6856749;5103.18;2019-07-03
6855882;6717.83;2019-07-03
6856988;104263.94;2019-07-03
6851688;3288.35;2017-11-29
6880253;94196.51;2019-03-13
6876639;83684.37;2019-03-13
6877571;83684.37;2019-03-13
6877582;829188.96;2018-05-31
7292751;72390.89;2019-09-19
7102093;212537.24;2019-05-16
7298181;708198.70;2019-10-18
7298192;72681.97;2017-03-29
6949738;252228.46;2019-05-29
6870358;19088.03;2019-04-15
6851755;153.73;2019-04-14
6882748;60134.40;2018-05-04
6883541;602.38;2017-12-18
6872690;18725.53;2019-09-16
6872266;26060.21;2019-03-29
6872271;34086.78;2019-03-29
6865725;59097.08;2019-04-04
6860593;52248.38;2018-02-26
6880759;128260.80;2019-10-05
6861549;45844.43;2018-02-26
6879649;2345.49;2019-08-14
6880035;555.61;2019-08-14
6967688;116669.52;2019-04-16
6853049;12825.12;2019-09-16
6852866;16031.40;2019-09-16
6866369;143387.90;2017-12-14
6859507;24062.50;2019-03-25
6858835;25689.13;2019-03-25
6857884;24668.88;2019-03-25
6860102;103988.88;2019-04-01
6848565;8640.00;2014-03-27
6852561;2681.09;2019-11-13
6852504;614.81;2019-11-13
6852149;664.36;2019-11-13
6851954;876.71;2019-11-13
7100529;90014.87;2018-05-19
7100531;93495.17;2019-10-23
7100540;216358.61;2019-02-14
7100549;55163.54;2018-05-19
6851858;1785503.52;2020-01-08
6860709;17144.57;2019-08-30
7030724;192948.00;2017-12-06
7073150;97474.04;2018-08-09
7073067;6291.09;2016-12-28
7069087;105701.12;2018-05-06
7072716;83296.80;2018-05-04
7299531;33556.27;2019-06-19
7294249;16297.50;2018-11-15
7294257;16297.51;2018-11-15
7294228;15813.67;2018-11-15
6849034;48521.00;2018-06-30
6877487;92283.32;2019-09-25
6868128;6273.53;2017-11-29
6854027;57067.59;2018-05-02
6935569;167808.61;2018-09-06
7230130;105617.90;2019-08-16
7297179;107542.47;2019-12-11
7072458;750054.13;2018-10-25
7297160;70746.96;2020-01-03
7068161;154974.00;2018-02-05
7073120;68853.06;2016-12-28
6884240;686965.69;2019-04-10
6874862;498117.98;2018-08-14
6877672;57559.00;2019-11-30
6857687;252420.45;2019-11-30
6857103;105026.00;2018-09-25
6856219;282600.00;2018-09-29
6852855;12825.12;2019-09-16
6855871;56810.51;2019-10-16
6857339;78113.88;2019-07-03
6876376;62090.56;2019-04-14
7294868;218171.59;2018-11-21
7101177;301883.48;2018-09-24
6871606;235064.00;2017-01-25
6935081;223012.00;2017-01-25
6935146;238547.00;2017-01-25
6949336;10000.00;2018-03-27
6948199;51593.76;2018-12-05
6870800;59401.13;2019-09-19
6853052;16031.40;2019-09-16
6872430;67593.00;2017-10-23
6881128;100579.15;2020-01-14
6879014;47492.00;2019-09-23
6879971;59070.65;2019-08-14
6880484;42464.45;2017-11-17
6879397;5556.96;2019-05-14
6935544;800963.61;2019-04-09
6877845;10456.92;2017-06-20
6876597;1725.14;2017-06-20
6858276;92687.27;2019-12-17
6858867;145838.46;2019-12-17
6857312;110419.88;2019-12-17
6857707;96852.99;2019-12-17
6858221;129317.75;2019-11-04
6858696;11122.82;2019-10-03
6857413;2059.26;2018-03-28
6856241;84738.34;2017-11-30
6884079;145733.92;2017-11-09
6852667;354456.86;2019-03-14
6857521;2670.00;2019-12-17
6857263;6643.83;2019-07-03
7013384;145619.57;2019-04-12
6850682;33391.35;2019-03-26
6878024;19000.00;2012-06-08
6875333;35840.00;2019-11-30
6876954;61956.00;2017-11-22
6876436;119707.04;2019-04-09
6851412;116125.43;2019-04-02
6856831;18590.94;2019-10-03
6877600;1725.14;2017-06-20
6851981;48598.25;2019-11-13
6853296;4648.82;2018-11-27
6853307;15358.66;2018-11-27
6854101;24237.50;2018-05-05
6855847;24237.50;2018-05-05
6875606;62023.12;2019-10-31
6875415;44843.76;2019-10-31
6854422;128600.41;2017-01-09
6883438;95185.56;2018-10-03
6851793;3055931.77;2018-07-23
6880212;156111.08;2019-03-13
6879239;94196.51;2019-03-13
6876992;17447.64;2018-10-24
6878326;117978.18;2017-12-13
6878159;13768.44;2019-10-31
6857834;40477.69;2018-10-26
6851941;2385.76;2019-11-13
6850001;2500.78;2018-09-19
6869715;17619.72;2019-04-15
6873879;18725.53;2019-09-16
7100950;129181.85;2018-10-16
7101175;3348.83;2019-05-24
6875030;48831.10;2014-12-17
6972454;589708.80;2019-10-29
6979240;61994.40;2018-02-26
6853565;61599.11;2019-11-30
6869546;46652.89;2019-11-30
6855223;43440.10;2019-10-16
6857267;6297.35;2019-07-03
6854329;118971.51;2019-07-03
6883739;89331.45;2019-04-09
6852107;3525.44;2017-11-29
6948692;107687.55;2019-11-12
6880752;94196.51;2019-03-13
6877558;20356.26;2018-10-24
6876946;67287.66;2017-12-13
6878274;5500.00;2016-11-23
6866644;46439.50;2019-05-22
6867704;46439.50;2019-05-22
6870599;73893.00;2019-03-27
6867701;18761.88;2018-10-11
6870291;18761.88;2018-10-11
6862001;50937.86;2019-07-04
6865828;92185.51;2019-09-28
6868709;5597.14;2017-12-29
6848130;2928.36;2018-01-17
6885533;2330.88;2017-10-31
6885479;107300.61;2017-10-31
6854356;59955.05;2018-02-02
6867229;153019.56;2016-11-25
6881799;152065.28;2019-09-12
6949115;439479.24;2019-05-13
6881491;42335.10;2018-11-22
6881967;30104.96;2018-11-22
6882061;57655.26;2018-10-03
6853517;173477.90;2019-03-13
6853316;162567.80;2017-11-29
6856160;58255.66;2017-01-09
6854186;149830.33;2017-01-09
6854570;201824.75;2019-03-20
6881723;47960.01;2018-10-10
6870732;49064.00;2017-10-23
6881726;6110.00;2018-06-30
6869518;17619.72;2019-04-15
6870090;17619.72;2019-04-15
6868462;85515.42;2017-12-29
6868721;78979.65;2017-12-29
6881191;128260.80;2019-10-05
6880668;128260.80;2019-10-05
6871565;91714.30;2017-12-29
6871007;52144.70;2017-12-29
6849421;92311.56;2019-04-04
6871143;81611.62;2019-05-25
6868692;6273.53;2017-11-29
6876889;72151.69;2016-12-30
6881688;21192.44;2017-12-20
6881690;21192.44;2017-12-20
6878809;56567.42;2018-10-03
6880329;54391.75;2018-10-03
6880331;99550.00;2018-06-30
6856611;4334.60;2019-10-16
6874197;71090.34;2019-04-13
6856537;4669.40;2019-07-03
6856994;54463.73;2019-07-03
6854630;1310.00;2019-07-03
6853471;13160.01;2018-11-27
6853160;24237.50;2018-05-05
