Acreedor|Nº ident.fis.1
4000422|P1310000C
4000423|P1600300F
4000424|P1602200F
4000425|P1602700E
4000426|P1604000H
4000427|P1605700B
4000428|P1605800J
4000429|P1606100D
4000430|P1606200B
4000431|P1606700A
4000432|P1607900F
4000433|P1608900E
4000434|P1609000C
4000435|P1610300D
4000436|P1610500I
4000437|P1611100G
4000438|P1611700D
4000439|P1611800B
4000440|P1612400J
4000441|P1613200C
4000442|P1613300A
4000443|P1613400I
4000444|P1614200B
4000445|P1614300J
4000446|P1614400H
4000447|P1616200J
4000448|P1616300H
4000449|P1616600A
4000450|P1617500B
4000451|P1618300F
4000452|P1619500J
4000453|P1619900B
4000454|P1621200C
4000455|P1622600C
4000456|P1624500C
4000457|P1625400E
4000458|P1625500B
4000459|P1626300F
4000460|P1627300E
4000461|P1627400C
4000462|P1628000J
4000463|P1628100H
4000464|P1700200G
4000465|P1700800D
4000466|P1700900B
4000467|P1701400B
4000468|P1701600G
4000469|P1702200E
4000470|P1702500H
4000471|P1702600F
4000472|P1702900J
4000473|P1703700C
4000474|P1703800A
4000475|P1704000G
4000476|P1704300A
4000477|P1704700B
4000478|P1704900H
4000479|P1705100D
4000480|P1705200B
4000481|P1705300J
4000482|P1705400H
4000483|P1705600C
4000484|P1706100C
4000485|P1706800H
4000486|P1707200J
4000487|P1707900E
4000488|P1708900D
4000489|P1709300F
4000490|P1709900C
4000491|P1710000I
4000492|P1710100G
4000493|P1710200E
4000494|P1710700D
4000495|P1710800B
4000496|P1710900J
4000497|P1711700C
4000498|P1712100E
4000499|P1712400I
4000500|P1712700B
4000501|P1713200B
4000502|P1714000E
4000503|P1714300I
4000504|P1714600B
4000505|P1715000D
4000506|P1715100B
4000507|P1715500C
4000508|P1715600A
4000509|P1715700I
4000510|P1716100A
4000511|P1717000B
4000512|P1717100J
4000513|P1717300F
4000514|P1717400D
4000515|P1717700G
4000516|P1717900C
4000517|P1718000A
4000518|P1718500J
4000519|P1718600H
4000520|P1718700F
4000521|P1719200F
4000522|P1719400B
4000523|P1719700E
4000524|P1719800C
4000525|P1719900A
4000526|P1720200C
4000527|P1720500F
4000528|P1720700B
4000529|P1721200B
4000530|P1721500E
4000531|P1721700A
4000532|P1722400G
4000533|P1722500D
4000534|P1722700J
4000535|P1722900F
4000536|P1723400F
4000537|P1723500C
4000538|P1723600A
4000539|P1724100A
4000540|P1725100J
4000541|P1900700D
4000542|P1900800B
4000543|P1901100F
4000544|P1902600D
4000545|P1902900H
4000546|P1904100C
4000547|P1905400F
4000548|P1906500B
4000549|P1907000B
4000550|P1908100I
4000551|P1908400C
4000552|P1908500J
4000553|P1909700E
4000554|P1911000F
4000555|P1912600B
4000556|P1912800H
4000557|P1913800G
4000558|P1914600J
4000559|P1914900D
4000560|P1915500A
4000561|P1916800D
4000562|P1916900B
4000563|P1917800C
4000564|P1917900A
4000565|P1918500H
4000566|P1919100F
4000567|P1919800A
4000568|P1920700J
4000569|P1922100A
4000570|P1922600J
4000571|P1925200F
4000572|P1925300D
4000573|P1926300C
4000574|P1927000H
4000575|P1927300B
4000576|P1927600E
4000577|P1931000B
4000578|P1933800C
4000579|P1935100F
4000580|P1935400J
4000581|P1936100E
4000582|P1938600B
4000583|P1939600A
4000584|P1939700I
4000585|P1940100I
4000586|P2200000D
4000587|P2200500C
4000588|P2202000B
4000589|P2206100F
4000590|P2206800A
4000591|P2208300J
4000592|P2208800I
4000593|P2208900G
4000594|P2210200H
4000595|P2210500A
4000596|P2215300A
4000597|P2215500F
4000598|P2217000E
4000599|P2217300I
4000600|P2217800H
4000601|P2221800B
4000602|P2223900H
4000603|P2224600C
4000604|P2227100A
4000605|P2227500B
4000606|P2227600J
4000607|P2228300F
4000608|P2229400C
4000609|P2230900I
4000610|P2234900E
4000611|P2500200G
4000612|P2500300E
4000613|P2500700F
4000614|P2500800D
4000615|P2500900B
4000616|P2501100H
4000617|P2501200F
4000618|P2501600G
4000619|P2501900A
4000620|P2502100G
4000621|P2502300C
4000622|P2502800B
4000623|P2503200D
4000624|P2504000G
4000625|P2504100E
4000626|P2504300A
4000627|P2504900H
4000628|P2505900G
4000629|P2506000E
4000630|P2507000D
4000631|P2507100B
4000632|P2507400F
4000633|P2508200I
4000634|P2508400E
4000635|P2508500B
4000636|P2509100J
4000637|P2510400A
4000638|P2512200C
4000639|P2512600D
4000640|P2513400H
4000641|P2514300I
4000642|P2514600B
4000643|P2515000D
4000644|P2516800F
4000645|P2516900D
4000646|P2517000B
4000647|P2517200H
4000648|P2520000G
4000649|P2521300J
4000650|P2522500D
4000651|P2522700J
4000652|P2523200J
4000653|P2524900D
4000654|P2525200H
4000655|P2525700G
4000656|P2526200G
4000657|P2526800D
4000658|P2527200F
4000659|P2528500H
4000660|P2528600F
4000661|P2528800B
4000662|P2528900J
4000663|P2529500G
4000664|P2530000E
4000665|P2530100C
4000666|P2530300I
4000667|P2531000D
4000668|P2531300H
4000669|P2531900E
4000670|P2600100H
4000671|P2600200F
4000672|P2600300D
4000673|P2600500I
4000674|P2600600G
4000675|P2600700E
4000676|P2600900A
4000677|P2601100G
4000678|P2601400A
4000679|P2601700D
4000680|P2601800B
4000681|P2601900J
4000682|P2602000H
4000683|P2602100F
4000684|P2602600E
4000685|P2602700C
4000686|P2603400I
4000687|P2603600D
4000688|P2604300J
4000689|P2604600C
4000690|P2604700A
4000691|P2604900G
4000692|P2605000E
4000693|P2605300I
4000694|P2605400G
4000695|P2605900F
4000696|P2606100B
4000697|P2606400F
4000698|P2606600A
4000699|P2607100A
4000700|P2607900D
4000701|P2608300F
4000702|P2608400D
4000703|P2608700G
4000704|P2609600H
4000706|P3501900I
4000707|P3502000G
4000708|P3502100E
4000709|P3502200C
4000710|P2610000H
4000711|P2610300B
4000712|P2610400J
4000713|P2610600E
4000714|P2611200C
4000715|P2612000F
4000716|P2612200B
4000717|P2612400H
4000718|P2612500E
4000719|P2612700A
4000720|P2613800H
4000721|P2614200J
4000722|P2614300H
4000723|P2614500C
4000724|P2615000C
4000725|P2615100A
4000726|P2615500B
4000727|P2615700H
4000728|P2615800F
4000729|P2616000B
4000730|P2616500A
4000731|P2616900C
4000732|P2617800D
4000733|P2618100H
4000734|P2618400B
4000735|P2800200D
4000736|P2800400J
4000737|P2800500G
4000738|P2800600E
4000739|P2800700C
4000740|P2800800A
4000741|P2800900I
4000742|P2801000G
4000743|P2801100E
4000744|P2801200C
4000745|P2801300A
4000746|P2801400I
4000747|P2801500F
4000748|P2801700B
4000749|P2801800J
4000750|P2801900H
4000751|P2802200B
4000752|P2802300J
4000753|P2802500E
4000754|P2802600C
4000755|P2802700A
4000756|P2803100C
4000757|P2803200A
4000758|P2803300I
4000759|P2803500D
4000760|P2803600B
4000761|P2803700J
4000762|P2803800H
4000763|P2804100B
4000764|P2804200J
4000765|P2804400F
4000766|P2804500C
4000767|P2804600A
4000768|P2804700I
4000769|P2804800G
4000770|P2804900E
4000771|P2805000C
4000772|P2805100A
4000773|P2805200I
4000774|P2805300G
4000775|P2805400E
4000776|P2805500B
4000777|P2805700H
4000778|P2805800F
4000779|P2805900D
4000780|P2806100J
4000781|P2806200H
4000782|P2806600I
4000783|P2806700G
4000784|P2806800E
4000785|P2807000A
4000786|P2807300E
4000787|P2807400C
4000788|P2807500J
4000789|P2808000J
4000790|P2808200F
4000791|P2808300D
4000792|P2808400B
4000793|P2808500I
4000794|P2808600G
4000795|P2808700E
4000796|P2808900A
4000797|P2809000I
4000798|P2809100G
4000799|P2809200E
4000800|P2809400A
4000801|P2809560H
4000802|P2809600F
4000803|P2810000F
4000804|P2810100D
4000805|P2810200B
4000806|P2810400H
4000807|P2810600C
4000808|P2810800I
4000809|P2810900G
4000810|P2811000E
4000811|P2811100C
4000812|P2811300I
4000813|P2811600B
4000814|P2812300H
4000815|P2812500C
4000816|P2812700I
4000817|P2812900E
4000818|P2813000C
4000819|P2813100A
4000820|P2813200I
4000821|P2813300G
4000822|P2813500B
4000823|P2813600J
4000824|P2813700H
4000825|P2814100J
4000826|P2814400D
4000827|P2814500A
4000828|P2814600I
4000829|P2814700G
4000830|P2814800E
4000831|P2814900C
4000832|P2815100I
4000833|P2815200G
4000834|P2815400C
4000835|P2815500J
4000836|P2815600H
4000837|P2815700F
4000838|P2815900B
4000839|P2816000J
4000840|P2816100H
4000841|P2816400B
4000842|P2816500I
4000843|P2816900A
4000844|P2817100G
4000845|P2817200E
4000846|P2817300C
4000847|P2817600F
4000848|P2817700D
4000849|P2817800B
4000850|P2817900J
4000851|P2818000H
4000852|P2818100F
4000853|P2818200D
4000854|P2818400J
4000855|P3002100J
4000856|P3101000B
4000857|P3101900C
4000858|P3102700F
4000859|P3104200E
4000860|P3106300A
4000861|P3107100D
4000862|P3108700J
4000863|P3108800H
4000864|P3116500D
4000865|P3120100G
4000866|P3121500G
4000867|P3123200B
4000868|P3125000D
4000869|P3126600J
