Mapeo Clase-Activo|
Cód. Activo|Clase
000001-01|
052883|00003900
052920|00003900
052921|00003900
052922|00003900
052942|00003900
052944|00003900
052962|00003900
052994|00003900
053004|00003900
053007|00003900
053008|00003900
053116|00003900
053153|00003900
053163|00003900
053168|00003900
053250|00003900
053251|00003900
053252|00003900
053271|00003900
053279|00003900
053350|00004100
053390|00003900
053404|00003900
053497|00003900
053503|00003900
053583|00003900
053618|00003900
053642|00003900
053663|00003300
053670|00003900
053671|00003900
053690|
053704|00003900
053714|00003900
053758|00003900
053782|00003900
053784|00003900
053814|00003900
053818|00003900
053833|00003900
053857|00003900
053886|00003900
053898|00003900
053900|00003900
053903|00003900
053904|00003900
053949|00003900
053952|00003900
053958|00003900
053996|00003900
054006|00003900
054053|00003900
054055|00003900
054079|00003900
054082|00003900
054106|00003900
054113|00003900
054114|00003900
054115|00003900
054116|00003900
054117|00003900
054118|00003900
054119|00003900
054120|00003900
054122|00003900
054123|00003900
054176|00003900
054199|00003900
054200|00003900
054201|00003900
054230|00003900
054313|00003900
054314|00003900
054333|00003900
054338|00003900
054356|00003900
054401|00003900
054451|00003900
054507|00003900
054516|00003900
054552|00003900
054600|00003900
054610|00003900
054655|00003900
054676|00003900
054712|00003900
054737|00003900
054754|00003900
054806|00003900
054811|00003900
054812|00003900
054813|00003900
054829|00003900
054830|00003900
054831|00003900
054832|00003900
054833|00003900
054834|00003900
054835|00003900
054836|00003900
054837|00003900
054838|00003900
054839|00003900
054840|00003900
054841|00003900
054842|00003900
054843|00003900
054853|00003900
054896|00003900
054918|00003900
054928|00003900
055002|00003900
055018|00003900
055027|00003900
055065|00003900
055081|00003900
055082|00003900
055085|00003900
055096|00003900
055101|00003900
055108|00003900
055125|00003900
055153|00003900
055205|00003900
055206|00003900
055217|00003900
055218|00003900
055219|00003900
055222|00003900
055223|00003900
055249|00003900
055251|00003900
055265|00003900
055274|00003900
055275|00003900
055300|00003900
055335|00003900
055336|00003900
055340|00003900
055361|00003900
055371|00003900
055372|00003900
055373|00003900
055376|00003900
055389|00003900
055408|00003900
055418|00003900
055433|00003900
055436|00003900
055444|00003900
055445|00003900
055446|00003900
055447|00003900
055448|00003900
055449|00003900
055474|00003900
055480|00003900
055517|00003900
055518|00003900
055523|00003900
055555|00003900
055556|00003900
055557|00003900
055593|00003900
055594|00003900
055618|00003900
055666|00003900
055674|00003900
055676|00003900
055694|00003900
055762|00003900
055809|00003900
055822|00003900
055831|00003900
055880|00003900
055888|00003900
055889|00003900
055903|00003900
055904|00003900
055905|00003900
055906|00003900
055907|00003900
055908|00003900
055909|00003900
055910|00003900
055911|00003900
055913|00003900
055914|00003900
055915|00003900
055916|00003900
055938|00003900
055966|00003900
055970|00003900
056072|00003900
056090|00003900
056091|00003900
056098|00003900
056099|00003900
056114|00003900
056115|00003900
056156|00003900
056166|00003900
056251|00003900
056345|00003900
056351|00003900
056359|00003900
056377|00003900
056385|00003900
056400|00003900
056401|00003900
056404|00003900
056405|00003900
056406|00003900
056407|00003900
056408|00003900
056435|00003900
056460|00003900
056476|00003900
056504|00003900
056510|00003900
056527|00003900
056533|00003900
056534|00003900
056535|00003900
056536|00003900
056537|00003900
056538|00003900
056539|00003900
056593|00003900
056595|00003900
056602|00003900
056603|00003900
056614|00003900
056656|00003900
056674|00003900
056676|00003900
056686|00003900
056701|00003900
056702|00003900
056704|00003900
056717|00003900
056742|00003900
056767|00003900
056780|00003900
056784|00003900
056791|00003900
056880|00003900
056891|00003900
056897|00003900
056916|00003900
056953|00003900
056972|00003900
057017|00003900
057041|00003900
057060|00003900
057083|00003900
057101|00003900
057108|00003900
057109|00003900
057110|00003900
057113|00003900
057121|00003900
057135|00003900
057142|00003900
057170|00003900
057177|00003900
057193|00003900
057212|00003900
057213|00003900
057229|00003900
057286|00003900
057312|00003900
057315|00003900
057343|00003900
057345|00003900
057364|00003900
057365|00003900
057377|00003900
057406|00003900
057489|00003900
057543|00003900
057557|00003900
057582|00003900
057612|00003900
057636|00003900
057639|00003900
057650|00003900
057653|00003900
057670|00003900
057671|00003900
057678|00003900
057721|00003900
057727|00003900
057735|00003900
057736|00003900
057737|00003900
057738|00003900
057739|00003900
057740|00003900
057750|00003900
057757|00003900
057765|00003900
057781|00003900
057787|00003900
057789|00003900
057797|00003900
057832|00003900
057843|00003900
057847|00003900
057848|00003900
057849|00003900
057852|00003900
057853|00003900
057865|00003900
057894|00003900
057900|00003900
057904|00003900
058150|00003900
058151|00003900
058152|00003900
058153|00003900
058154|00003900
058155|00003900
058156|00003900
058157|00003900
058158|00003900
058159|00003900
058160|00003900
058162|00003900
058163|00003900
058164|00003900
058165|00003900
058166|00003900
058169|00003900
058170|00003900
058171|00003900
058172|00003900
058173|00003900
058174|00003900
058175|00003900
058176|00003900
058177|00003900
058178|00003900
058179|00003900
058180|00003900
058181|00003900
058182|00003900
058183|00003900
058184|00003900
058185|00003900
058186|00003900
058187|00003900
058188|00003900
058191|00003900
058192|00003900
058193|00003900
058194|00003900
058195|00003900
058196|00003900
058197|00003900
058198|00003900
058248|00003300
058250|00003300
058259|00003300
058286|00003900
058302|00003900
058310|00003900
058312|00003900
058317|00003900
058318|00003900
058327|00003900
058328|00003900
058396|00003900
058403|00004100
058404|00004100
058405|00004100
058406|00004100
058415|00003900
058450|00003900
