+0000000006127346                  11+00000000061273460000000000000000
+0000000005876162                  11+00000000058761620000000000000000
+0000000005876143                  11+00000000058761430000000000000000
+0000000006125937                  11+00000000061259370000000000000000
+0000000006125994                  11+00000000061259940000000000000000
+0000000006126002                  11+00000000061260020000000000000000
+0000000000202952                  11+00000000002029520000000000000000
+0000000000203710                  11+00000000002037100000000000000000
+0000000000203711                  11+00000000002037110000000000000000
+0000000000202961                  11+00000000002029610000000000000000
+0000000000202671                  11+00000000002026710000000000000000
+0000000000203018                  11+00000000002030180000000000000000
+0000000000203022                  11+00000000002030220000000000000000
+0000000000202963                  11+00000000002029630000000000000000
+0000000000202965                  11+00000000002029650000000000000000
+0000000000204075                  11+00000000002040750000000000000000
+0000000000202889                  11+00000000002028890000000000000000
+0000000000202890                  11+00000000002028900000000000000000
+0000000000204076                  11+00000000002040760000000000000000
+0000000000203951                  11+00000000002039510000000000000000
+0000000000203242                  11+00000000002032420000000000000000
+0000000000203527                  11+00000000002035270000000000000000
+0000000000203528                  11+00000000002035280000000000000000
+0000000006127465                  11+00000000061274650000000000000000
+0000000006127033                  11+00000000061270330000000000000000
+0000000006127507                  11+00000000061275070000000000000000
+0000000006127508                  11+00000000061275080000000000000000
+0000000006125546                  11+00000000061255460000000000000000
+0000000006125547                  11+00000000061255470000000000000000
+0000000000137235                  11+00000000001372350000000000000000
+0000000000084322                  11+00000000000843220000000000000000
+0000000000143831                  11+00000000001438310000000000000000
+0000000000175006                  11+00000000001750060000000000000000
+0000000006127512                  11+00000000061275120000000000000000
+0000000006125556                  11+00000000061255560000000000000000
+0000000006127071                  11+00000000061270710000000000000000
+0000000006127536                  11+00000000061275360000000000000000
+0000000006125602                  11+00000000061256020000000000000000
+0000000006127558                  11+00000000061275580000000000000000
+0000000006127559                  11+00000000061275590000000000000000
+0000000006126453                  11+00000000061264530000000000000000
+0000000006126454                  11+00000000061264540000000000000000
+0000000006126470                  11+00000000061264700000000000000000
+0000000006126471                  11+00000000061264710000000000000000
+0000000006126472                  11+00000000061264720000000000000000
+0000000006127590                  11+00000000061275900000000000000000
+0000000006126473                  11+00000000061264730000000000000000
+0000000006126141                  11+00000000061261410000000000000000
+0000000006126185                  11+00000000061261850000000000000000
+0000000006127136                  11+00000000061271360000000000000000
+0000000006127139                  11+00000000061271390000000000000000
+0000000006126284                  11+00000000061262840000000000000000
+0000000006126544                  11+00000000061265440000000000000000
+0000000006126545                  11+00000000061265450000000000000000
+0000000006126547                  11+00000000061265470000000000000000
+0000000006126548                  11+00000000061265480000000000000000
+0000000006126550                  11+00000000061265500000000000000000
+0000000006126551                  11+00000000061265510000000000000000
+0000000006127208                  11+00000000061272080000000000000000
+0000000000104081                  11+00000000001040810000000000000000
+0000000000114528                  11+00000000001145280000000000000000
+0000000000113561                  11+00000000001135610000000000000000
+0000000000202097                  11+00000000002020970000000000000000
+0000000000202274                  11+00000000002022740000000000000000
+0000000006126629                  11+00000000061266290000000000000000
+0000000006126630                  11+00000000061266300000000000000000
+0000000006126678                  11+00000000061266780000000000000000
+0000000006126705                  11+00000000061267050000000000000000
+0000000006126706                  11+00000000061267060000000000000000
+0000000006126336                  11+00000000061263360000000000000000
+0000000006126763                  11+00000000061267630000000000000000
+0000000006126339                  11+00000000061263390000000000000000
+0000000000201858                  11+00000000002018580000000000000000
+0000000006125664                  11+00000000061256640000000000000000
+0000000006125745                  11+00000000061257450000000000000000
+0000000006127326                  11+00000000061273260000000000000000
+0000000006126371                  11+00000000061263710000000000000000
+0000000006125773                  11+00000000061257730000000000000000
+0000000006125774                  11+00000000061257740000000000000000
+0000000006125775                  11+00000000061257750000000000000000
+0000000006127357                  11+00000000061273570000000000000000
+0000000006127379                  11+00000000061273790000000000000000
+0000000006125934                  11+00000000061259340000000000000000
+0000000006125941                  11+00000000061259410000000000000000
+0000000000203251                  11+00000000002032510000000000000000
+0000000000202094                  11+00000000002020940000000000000000
+0000000000108261                  11+00000000001082610000000000000000
+0000000000202625                  11+00000000002026250000000000000000
+0000000000203259                  11+00000000002032590000000000000000
+0000000000203542                  11+00000000002035420000000000000000
+0000000000202629                  11+00000000002026290000000000000000
+0000000006125519                  11+00000000061255190000000000000000
+0000000006127043                  11+00000000061270430000000000000000
+0000000006125551                  11+00000000061255510000000000000000
+0000000000151240                  11+00000000001512400000000000000000
+0000000000166381                  11+00000000001663810000000000000000
+0000000000137236                  11+00000000001372360000000000000000
+0000000000200438                  11+00000000002004380000000000000000
+0000000000176878                  11+00000000001768780000000000000000
+0000000000077919                  11+00000000000779190000000000000000
+0000000000204555                  11+00000000002045550000000000000000
+0000000000943112                  11+00000000009431120000000000000000
+0000000000202802                  11+00000000002028020000000000000000
+0000000000171758                  11+00000000001717580000000000000000
+0000000000170841                  11+00000000001708410000000000000000
+0000000000198209                  11+00000000001982090000000000000000
+0000000000170780                  11+00000000001707800000000000000000
+0000000000890353                  11+00000000008903530000000000000000
+0000000000065196                  11+00000000000651960000000000000000
+0000000000068279                  11+00000000000682790000000000000000
+0000000000068280                  11+00000000000682800000000000000000
+0000000000199890                  11+00000000001998900000000000000000
+0000000000064987                  11+00000000000649870000000000000000
+0000000000179591                  11+00000000001795910000000000000000
+0000000000169482                  11+00000000001694820000000000000000
+0000000006125553                  11+00000000061255530000000000000000
+0000000006125554                  11+00000000061255540000000000000000
+0000000006127063                  11+00000000061270630000000000000000
+0000000006127106                  11+00000000061271060000000000000000
+0000000006125648                  11+00000000061256480000000000000000
+0000000006127564                  11+00000000061275640000000000000000
+0000000006125649                  11+00000000061256490000000000000000
+0000000006125656                  11+00000000061256560000000000000000
+0000000006126447                  11+00000000061264470000000000000000
+0000000006126449                  11+00000000061264490000000000000000
+0000000006126450                  11+00000000061264500000000000000000
+0000000006126451                  11+00000000061264510000000000000000
