OFR_NUM_OFERTA;OFR_ID;eco_fecha_cont_propietario
90233949;529253;2020-01-16 00:00:00.0000000
90221998;516424;2020-01-29 00:00:00.0000000
90206527;500395;2019-12-18 00:00:00.0000000
90227025;521585;2019-12-23 00:00:00.0000000
90210586;504650;2019-11-25 00:00:00.0000000
90217508;511839;2019-12-23 00:00:00.0000000
90236545;532024;2020-03-02 00:00:00.0000000
90238535;534063;2020-02-12 00:00:00.0000000
90205166;499000;2019-10-24 00:00:00.0000000
90229008;523614;2019-12-13 00:00:00.0000000
90204390;498220;2019-09-19 00:00:00.0000000
90219423;513791;2019-11-04 00:00:00.0000000
90216271;510549;2019-10-24 00:00:00.0000000
90223160;517601;2020-01-16 00:00:00.0000000
90235227;530575;2020-01-24 00:00:00.0000000
90205243;499077;2019-10-01 00:00:00.0000000
90229526;524298;2020-01-28 00:00:00.0000000
90227807;522388;2019-11-28 00:00:00.0000000
90207886;501835;2019-09-19 00:00:00.0000000
90236275;531722;2020-03-12 00:00:00.0000000
90229568;524340;2020-01-17 00:00:00.0000000
90207840;501784;2019-11-15 00:00:00.0000000
90234714;530024;2020-01-31 00:00:00.0000000
90217750;512081;2019-11-29 00:00:00.0000000
90239048;534608;2020-03-05 00:00:00.0000000
90230332;525218;2020-01-30 00:00:00.0000000
90232087;527185;2020-01-31 00:00:00.0000000
90218761;513118;2019-11-14 00:00:00.0000000
90221707;516118;2019-12-24 00:00:00.0000000
90235335;530683;2020-02-03 00:00:00.0000000
90230328;525214;2020-01-17 00:00:00.0000000
90221667;516076;2019-11-15 00:00:00.0000000
90219260;513628;2019-12-13 00:00:00.0000000
90236918;532407;2020-02-14 00:00:00.0000000
90228315;522907;2020-01-02 00:00:00.0000000
90227031;521591;2019-12-03 00:00:00.0000000
90224124;518580;2019-11-27 00:00:00.0000000
90220523;514902;2019-12-09 00:00:00.0000000
90236253;531700;2020-03-03 00:00:00.0000000
90221886;516297;2020-01-24 00:00:00.0000000
90224601;519063;2019-10-30 00:00:00.0000000
90230174;525030;2020-02-18 00:00:00.0000000
90231280;526267;2020-01-13 00:00:00.0000000
90235192;530540;2020-03-13 00:00:00.0000000
90226290;520813;2020-02-28 00:00:00.0000000
90227162;521730;2019-11-29 00:00:00.0000000
90232943;528145;2020-02-04 00:00:00.0000000
90224455;518941;2020-01-23 00:00:00.0000000
90222966;517407;2019-12-05 00:00:00.0000000
90211043;505157;2019-10-15 00:00:00.0000000
90209752;503776;2019-09-25 00:00:00.0000000
90234207;529511;2020-02-17 00:00:00.0000000
90237617;533135;2020-02-19 00:00:00.0000000
90229781;524596;2020-01-10 00:00:00.0000000
90216341;510632;2019-12-13 00:00:00.0000000
90217020;511336;2019-12-18 00:00:00.0000000
90216342;510633;2020-01-22 00:00:00.0000000
90225031;519503;2020-01-28 00:00:00.0000000
90222340;516766;2019-12-05 00:00:00.0000000
90230773;525692;2020-01-13 00:00:00.0000000
90206591;500493;2019-10-02 00:00:00.0000000
90109091;401723;2018-10-25 00:00:00.0000000
90228521;523113;2020-01-09 00:00:00.0000000
90211464;505589;2019-10-01 00:00:00.0000000
90233435;528672;2020-01-03 00:00:00.0000000
90229989;524816;2019-05-29 00:00:00.0000000
90235920;531329;2020-02-04 00:00:00.0000000
90221210;515619;2019-11-29 00:00:00.0000000
90219199;513567;2019-11-06 00:00:00.0000000
90209278;503296;2019-10-14 00:00:00.0000000
90244663;540360;2020-02-28 00:00:00.0000000
90229854;524681;2019-12-16 00:00:00.0000000
90219255;513623;2019-11-04 00:00:00.0000000
90237367;532869;2020-02-14 00:00:00.0000000
90238619;534147;2020-02-12 00:00:00.0000000
90202573;496350;2019-12-24 00:00:00.0000000
90211658;505782;2019-10-07 00:00:00.0000000
90232392;527532;2020-03-04 00:00:00.0000000
90232703;527891;2020-01-02 00:00:00.0000000
90220794;515173;2019-11-28 00:00:00.0000000
90209754;503778;2019-09-30 00:00:00.0000000
90224207;518676;2019-11-27 00:00:00.0000000
9054;383859;2017-09-04 00:00:00.0000000
13043;381953;2018-04-19 00:00:00.0000000
90123584;416266;2019-01-11 00:00:00.0000000
90132610;425335;2018-12-27 00:00:00.0000000
9066;383857;2017-07-31 00:00:00.0000000
9287;383775;2017-08-31 00:00:00.0000000
90196885;490486;2019-07-30 00:00:00.0000000
90176223;469056;2019-03-28 00:00:00.0000000
90200535;494270;2019-06-26 00:00:00.0000000
90224213;518682;2019-11-28 00:00:00.0000000
14816;380492;2018-07-25 00:00:00.0000000
8335;384093;2017-07-21 00:00:00.0000000
90132459;425184;2018-12-28 00:00:00.0000000
12491;382365;2018-05-17 00:00:00.0000000
11524;382978;2018-02-27 00:00:00.0000000
90114717;407374;2018-12-28 00:00:00.0000000
90134411;427138;2019-01-30 00:00:00.0000000
90164965;457822;2019-05-17 00:00:00.0000000
90193390;486812;2019-12-19 00:00:00.0000000
9103;383841;2017-08-17 00:00:00.0000000
8221;384117;2018-09-14 00:00:00.0000000
90176610;469443;2019-04-26 00:00:00.0000000
90141355;434077;2019-01-22 00:00:00.0000000
90176572;469405;2019-03-29 00:00:00.0000000
8260;384107;2017-07-10 00:00:00.0000000
11646;382942;2018-03-21 00:00:00.0000000
11090;383195;2017-12-29 00:00:00.0000000
11280;383100;2018-01-31 00:00:00.0000000
90142619;435341;2019-02-20 00:00:00.0000000
13442;381650;2018-05-23 00:00:00.0000000
90135357;428083;2019-02-01 00:00:00.0000000
90134030;426759;2019-02-12 00:00:00.0000000
90171216;464078;2019-04-25 00:00:00.0000000
8766;383966;2017-07-21 00:00:00.0000000
90186981;480006;2019-06-30 00:00:00.0000000
90235791;531186;2019-12-31 00:00:00.0000000
90235813;531222;2019-12-30 00:00:00.0000000
13586;381531;2018-06-06 00:00:00.0000000
9416;383738;2017-12-27 00:00:00.0000000
9425;383734;2017-09-06 00:00:00.0000000
9412;383740;2017-09-14 00:00:00.0000000
90136458;429184;2019-01-21 00:00:00.0000000
90196107;489697;2019-07-02 00:00:00.0000000
10843;383287;2018-03-28 00:00:00.0000000
10076;383575;2017-11-09 00:00:00.0000000
8628;384008;2017-07-26 00:00:00.0000000
90176174;469007;2019-03-29 00:00:00.0000000
14600;380671;2018-08-16 00:00:00.0000000
90202819;496615;2019-08-27 00:00:00.0000000
90204477;498307;2019-10-28 00:00:00.0000000
90217540;511871;2019-10-30 00:00:00.0000000
90238108;533631;2020-03-05 00:00:00.0000000
90207331;501256;2019-10-02 00:00:00.0000000
90206566;500434;2019-09-02 00:00:00.0000000
90231738;526801;2020-03-09 00:00:00.0000000
90212103;506247;2019-09-27 00:00:00.0000000
90232482;527622;2020-01-31 00:00:00.0000000
90218187;512536;2019-10-30 00:00:00.0000000
90206434;500302;2019-09-09 00:00:00.0000000
90228509;523101;2020-01-24 00:00:00.0000000
90227008;521568;2019-12-16 00:00:00.0000000
90220349;514719;2019-11-18 00:00:00.0000000
90210794;504875;2019-11-29 00:00:00.0000000
90234095;529399;2020-01-23 00:00:00.0000000
90230108;524964;2020-02-14 00:00:00.0000000
90202626;496403;2019-10-01 00:00:00.0000000
90225654;520160;2019-12-23 00:00:00.0000000
90221665;516074;2020-02-18 00:00:00.0000000
90209870;503894;2019-10-07 00:00:00.0000000
90225876;520399;2019-12-12 00:00:00.0000000
90228899;523505;2019-12-23 00:00:00.0000000
90231586;526586;2019-12-27 00:00:00.0000000
90208594;502577;2019-10-18 00:00:00.0000000
90237107;532609;2020-02-28 00:00:00.0000000
90230170;525026;2020-01-20 00:00:00.0000000
90224452;518938;2019-12-05 00:00:00.0000000
90216257;510535;2019-12-18 00:00:00.0000000
90239179;534744;2020-03-09 00:00:00.0000000
90204922;498752;2020-02-07 00:00:00.0000000
90231969;527067;2020-02-26 00:00:00.0000000
90232085;527183;2019-12-30 00:00:00.0000000
90213063;507240;2019-09-27 00:00:00.0000000
90234055;529359;2020-02-24 00:00:00.0000000
90226465;521005;2019-12-05 00:00:00.0000000
90215591;509869;2019-11-25 00:00:00.0000000
90218479;512833;2019-11-27 00:00:00.0000000
90224155;518611;2019-12-04 00:00:00.0000000
90230125;524981;2020-01-20 00:00:00.0000000
90229321;524052;2020-01-22 00:00:00.0000000
