ID HAYA|ID PRINEX|RC
6861074|52758|0783701XJ1008S0173OU
6860331|52759|0783701XJ1008S0173OU
6861889|52760|0783701XJ1008S0173OU
6973956|94911|0833911VK2203S0001RJ
6883353|78157|0885032TK4508N0001SG
6850464|68033|10117A011000230000YB
6849579|68034|10117A011000230000YB
6848606|68035|10117A011000230000YB
6850316|5533|10184A014000110000YU
6855969|33838|1248611VJ6614N0001ZF
6857067|33839|1248611VJ6614N0001ZF
6857068|33840|1248611VJ6614N0001ZF
6856750|33841|1248611VJ6614N0001ZF
6858721|33842|1248611VJ6614N0001ZF
6856801|33843|1248611VJ6614N0001ZF
6855884|33844|1248611VJ6614N0001ZF
6856542|33845|1248611VJ6614N0001ZF
6858722|33846|1248611VJ6614N0001ZF
6855885|33847|1248611VJ6614N0001ZF
6856802|33848|1248611VJ6614N0001ZF
6855886|33849|1248611VJ6614N0001ZF
6857275|33850|1248611VJ6614N0001ZF
6855883|33873|1248611VJ6614N0001ZF
6868646|69922|1274905UK9217S0062LL
6863876|69937|1274905UK9217S0077II
6862581|69938|1274905UK9217S0078OO
6863394|69939|1274905UK9217S0079PP
6873208|81023|1339207VJ0913N0001RO
7068765|98505|1409604VK2410N0010QQ
6825946|75507|1427504VK3612N0079HH
6826255|75803|1427504VK3612N0133II
6826303|75846|1427504VK3612N0176HH
6826041|75584|1427504VK3612N0396DD
6826064|75594|1427504VK3612N0406XX
6826197|75690|1427504VK3612N0506WW
6826555|76073|1427504VK3612N0610YY
6826643|76180|1427504VK3612N0726XX
6826667|76216|1427504VK3612N0763QQ
6882680|82383|1556401TP7015N0042EY
7072354|99070|1570807UK3217S0054UA
6885555|85231|1587424CF9718N0008FJ
6875483|87593|1695811UK9219N0001LW
6849755|5492|2589101QC0828N0001EG
6851261|20085|2737648VJ2123N0002MZ
6850695|20086|2737648VJ2123N0003QX
6851314|20087|2737648VJ2123N0004WM
6852027|20088|2737648VJ2123N0005EQ
6851464|20089|2737648VJ2123N0006RW
6850933|20098|2737648VJ2123N0007TE
6851465|20091|2737648VJ2123N0008YR
6851315|20092|2737648VJ2123N0009UT
6851008|20093|2737648VJ2123N0010TE
6850930|20094|2737648VJ2123N0011YR
6852185|20095|2737648VJ2123N0012UT
6851466|20096|2737648VJ2123N0013IY
6852186|20097|2737648VJ2123N0014OU
6850697|20090|2737648VJ2123N0015PI
6850934|20099|2737648VJ2123N0016AO
6851462|20100|2737648VJ2123N0021DA
6851463|20101|2737648VJ2123N0022FS
6852026|4479|2737648VJ2123N0036WM
6850739|24913|2804003PB7220S0005FO
6877459|72965|2834065WJ6523S0001TJ
6883013|56862|2858601TJ5125N0078FT
6878707|615|29090A013001430000HL
6848501|7268|2969023UP2036S0001KO
6879156|1034|2997901XH9529N0001TG
6880155|1035|2997901XH9529N0001TG
6879336|1036|2997901XH9529N0001TG
6879157|1037|2997901XH9529N0001TG
6879875|1038|2997901XH9529N0001TG
6879796|1039|2997901XH9529N0001TG
6880493|1040|2997901XH9529N0001TG
6880723|1042|2997901XH9529N0001TG
6879876|1043|2997901XH9529N0001TG
6880494|1044|2997901XH9529N0001TG
6879797|1045|2997901XH9529N0001TG
6884597|71831|3027301VP3132E0047HI
6872217|80482|3274310VK8937S0140ER
7005059|95340|3431413UK8133S0001JF
6852254|81045|3431417XJ6733A0001UA
6861762|50987|3852213UK4235S0003IU
6884143|38763|39057A012001110000FR
6855280|19653|4188308XH6048N0024YI
6848393|72876|4355905VP5145N0001AL
6955787|93645|4575415XJ0347N0001HH
6853129|72993|4778502VK0347N0018SL
6859150|30469|5040214VK2254S0004JA
6848424|7288|52076A112002040000LK
6848603|67894|5288013VK0358N0001ME
6849664|7229|5340005TP7354S0122GJ
6877529|72794|5753901VK0455S0010ZJ
6876581|81737|5756412QC2855N0014MP
6852329|56453|5872007WK7257S0001ZJ
6878151|20235|6063201VJ2366N0001XT
6877553|20232|6063201VJ2366N0001XT
6877554|20231|6063201VJ2366N0001XT
6877574|20230|6063201VJ2366N0001XT
6877575|20229|6063201VJ2366N0001XT
6877468|20228|6063201VJ2366N0001XT
6876940|20227|6063201VJ2366N0001XT
6877047|20226|6063201VJ2366N0001XT
6877169|20225|6063201VJ2366N0001XT
6876942|20224|6063201VJ2366N0001XT
6877049|20223|6063201VJ2366N0001XT
6876329|20222|6063201VJ2366N0001XT
6858157|22586|6130012UK6263S0003YO
6858285|22587|6130012UK6263S0004UP
6858619|22592|6130012UK6263S0012SG
6859955|22593|6130012UK6263S0013DH
6858287|22594|6130012UK6263S0014FJ
6859954|22590|6130012UK6263S0026ME
6849695|8058|6189801VP1068N0022GJ
6872198|90132|6356814UK3265N0015AI
6860286|58063|6558806VK3365N0010QZ
6881651|85071|6724504TN8862S0020ZB
7074667|99794|6867516VP6066N0002UY
6874115|58719|6932001VK5263S0135ZD
6957065|93630|6932001VK5263S0159HI
7068344|98312|6932001VK5263S0189FY
7100950|93163|6950319VJ5965S0001HH
7017309|97281|7010112VK0571S0010AI
6855458|3773|7097434VL8179N0001HF
7298238|105254|7105005VH6970N0040BT
6871166|81376|7106203YJ2770E0028OZ
6856611|27539|7108976VK2370N0001AF
6882233|21128|7239802VK3173N0001MZ
6878929|21129|7239802VK3173N0001MZ
6881241|21130|7239802VK3173N0001MZ
6878930|21131|7239802VK3173N0001MZ
6880958|21132|7239802VK3173N0001MZ
6880959|21133|7239802VK3173N0001MZ
6880845|21134|7239802VK3173N0001MZ
