Num. Activo Haya;Fecha Recepción Plusvalía;F. pago / presentación plusvalía;F. presentación de recurso;F. respuesta de recurso;Apertura de expediente de recurso extrajudicial y seguimiento del mismo;Importe pagado plusvalía;Gasto asociado;Minusvalía;Exento;Autoliquidación
6991876;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;N;N;N
6991877;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;N;N;N
6991878;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;N;N;N
6991879;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;N;N;N
6991880;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;N;N;N
6991881;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;N;N;N
6991882;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;N;N;N
6991883;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;N;N;N
6991884;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;N;N;N
6991885;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
6991886;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
6991887;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
6991888;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
6991889;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
6991890;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
6991891;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
6991892;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
6991893;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
6991894;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
6991895;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
6991896;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
6991897;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
5934957;31/12/1899;25/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5942250;31/12/1899;18/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5951410;31/12/1899;13/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5962078;31/12/1899;18/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6764240;31/12/1899;18/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6948726;31/12/1899;08/01/2020;31/12/1899;31/12/1899;N;0;;N;N;N
6990732;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;321,02;;S;N;N
6991642;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
6995341;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
6997241;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;352,24;;S;N;N
6996032;31/12/1899;02/01/2020;31/12/1899;31/12/1899;N;0;;S;N;N
6994077;31/12/1899;17/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5930304;31/12/1899;16/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5964850;31/12/1899;17/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6994420;31/12/1899;17/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6995814;31/12/1899;17/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6999987;31/12/1899;21/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
7000034;31/12/1899;21/11/2019;31/12/1899;31/12/1899;N;0;;N;N;N
7000049;31/12/1899;21/11/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5934264;31/12/1899;17/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6711561;31/12/1899;17/12/2019;31/12/1899;31/12/1899;N;20,25;;N;N;N
6711574;31/12/1899;17/12/2019;31/12/1899;31/12/1899;N;286,12;;N;N;N
6993928;31/12/1899;17/12/2019;31/12/1899;31/12/1899;N;154,45;;S;N;N
6994027;31/12/1899;17/12/2019;31/12/1899;31/12/1899;N;102,18;;N;N;N
5964536;31/12/1899;18/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5969327;31/12/1899;17/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6996192;31/12/1899;18/12/2019;31/12/1899;31/12/1899;N;62,99;;S;N;N
6997619;31/12/1899;17/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6063781;31/12/1899;13/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6999920;31/12/1899;16/12/2019;31/12/1899;31/12/1899;N;4835,79;;S;N;N
5952665;31/12/1899;13/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5962036;31/12/1899;13/12/2019;31/12/1899;31/12/1899;N;364,25;;S;N;N
6831690;31/12/1899;13/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6995761;31/12/1899;13/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6971942;31/12/1899;16/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5968428;31/12/1899;16/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6992064;31/12/1899;13/12/2019;31/12/1899;31/12/1899;N;137,38;;S;N;N
6993962;31/12/1899;13/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
7017313;31/12/1899;16/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6997266;31/12/1899;16/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6998139;31/12/1899;16/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6998140;31/12/1899;16/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6990943;31/12/1899;13/12/2019;31/12/1899;31/12/1899;N;358,88;;S;N;N
6993089;31/12/1899;12/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6999179;31/12/1899;12/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6993437;31/12/1899;12/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6995756;31/12/1899;12/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6995757;31/12/1899;12/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
7010277;31/12/1899;13/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
7017617;31/12/1899;12/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6977574;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6971949;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6998994;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6996064;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
5932514;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5953637;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5953726;31/12/1899;12/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5959300;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
5970083;31/12/1899;12/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6044583;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6988777;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;453,98;;S;N;N
6988778;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
7007921;31/12/1899;11/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
5967737;31/12/1899;12/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6057753;31/12/1899;12/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6967324;31/12/1899;12/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6967330;31/12/1899;12/12/2019;31/12/1899;31/12/1899;N;6524,82;;N;N;N
6992845;31/12/1899;12/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
6992846;31/12/1899;12/12/2019;31/12/1899;31/12/1899;N;0;;N;N;N
6994822;31/12/1899;12/12/2019;31/12/1899;31/12/1899;N;0;;S;N;N
