ID HAYA;ID SERVICER;ID INMUEBLE BS
7041346;214532223119;214532223119
7041347;214534223133;214534223133
7041348;214535223188;214535223188
7041349;214536223189;214536223189
7041350;214537223190;214537223190
7041351;214538223194;214538223194
7041352;214540223238;214540223238
7041353;214540223240;214540223240
7041354;214540223241;214540223241
7041355;214540223242;214540223242
7041356;214540223243;214540223243
7041357;214540223244;214540223244
7041358;214542223251;214542223251
7041359;214544223253;214544223253
7041360;214545223254;214545223254
7041361;214549223259;214549223259
7041362;214550223260;214550223260
7041363;214552223263;214552223263
7041364;214553223299;214553223299
7041365;214555223304;214555223304
7041366;214556223326;214556223326
7041367;214557223327;214557223327
7041368;214557223328;214557223328
7041369;214560223331;214560223331
7041370;214562223334;214562223334
7041371;214566223362;214566223362
7041372;214566223363;214566223363
7041373;214567223354;214567223354
7041374;214569223356;214569223356
7041375;214569223357;214569223357
7041376;214570223358;214570223358
7041377;214570223359;214570223359
7041378;214571223360;214571223360
7041379;214572223365;214572223365
7041380;214573223366;214573223366
7041381;214574223367;214574223367
7041382;214575223368;214575223368
7041383;214578223393;214578223393
7041384;214578223394;214578223394
7041385;214578223396;214578223396
7041386;214578223397;214578223397
7041387;214578223401;214578223401
7041388;214578223402;214578223402
7041389;214578223404;214578223404
7041390;214578223406;214578223406
7041391;214578223407;214578223407
7041392;214579223408;214579223408
7041393;214580223409;214580223409
7041394;214582223414;214582223414
7041395;214584223416;214584223416
7041396;214586223417;214586223417
7041397;214588223469;214588223469
7041398;214590223450;214590223450
7041399;214591223452;214591223452
7041400;214592223460;214592223460
7041401;214594223471;214594223471
7041402;214594223472;214594223472
7041403;214597223478;214597223478
7041404;214598223479;214598223479
7041405;214600223503;214600223503
7041406;214601223484;214601223484
7041407;214601223487;214601223487
7041408;214601223488;214601223488
7041409;214601223489;214601223489
7041410;214601223490;214601223490
7041411;214601223491;214601223491
7041412;214601223492;214601223492
7041413;214601223493;214601223493
7041414;214601223494;214601223494
7041415;214601223502;214601223502
7041416;214602223504;214602223504
7041417;214603223505;214603223505
7041418;214603223506;214603223506
7041419;214605223527;214605223527
7041420;214607223509;214607223509
7041421;214609223524;214609223524
7041422;214611223529;214611223529
7041423;214615223535;214615223535
7041424;214616223536;214616223536
7041425;214617223537;214617223537
7041426;214619223553;214619223553
7041427;214622223599;214622223599
7041428;214623223600;214623223600
7041429;214627223605;214627223605
7041430;214628223606;214628223606
7041431;214629223607;214629223607
7041432;214630223608;214630223608
7041433;214631223609;214631223609
7041434;214632223611;214632223611
7041435;214634223648;214634223648
7041436;214636223650;214636223650
7041437;214637223658;214637223658
7041438;214637223659;214637223659
7041439;214640223656;214640223656
7041440;214642223657;214642223657
7041441;214644223727;214644223727
7041442;214646223747;214646223747
7041443;214647223732;214647223732
7041444;214648223733;214648223733
7041445;214649223734;214649223734
7041446;214650223735;214650223735
7041447;214651223736;214651223736
7041448;214652223737;214652223737
7041449;214654223738;214654223738
7041450;214654223739;214654223739
7041451;214658223745;214658223745
7041452;214661223749;214661223749
7041453;214661223750;214661223750
7041454;214662223751;214662223751
7041455;214667223758;214667223758
7041456;214667223759;214667223759
7041457;214668223760;214668223760
7041458;214668223761;214668223761
7041459;214670223763;214670223763
7041460;214672223765;214672223765
7041461;214672223766;214672223766
7041462;214672223767;214672223767
7041463;214673223768;214673223768
7041464;214674223784;214674223784
7041465;214674223785;214674223785
7041466;214674223800;214674223800
7041467;214674223802;214674223802
7041468;214674223804;214674223804
7041469;214676223909;214676223909
7041470;214679223812;214679223812
7041471;214680223814;214680223814
7041472;214681223816;214681223816
7041473;214683223820;214683223820
7041474;214684223821;214684223821
7041475;214685223844;214685223844
7041476;214686223845;214686223845
7041477;214691223882;214691223882
7041478;214692223888;214692223888
7041479;214697223913;214697223913
7041480;214699223915;214699223915
7041481;214701223922;214701223922
7041482;214702223924;214702223924
7041483;214704223928;214704223928
7041484;214706223931;214706223931
7041485;214708223953;214708223953
7041486;214708223954;214708223954
7041487;214708223955;214708223955
7041488;214711223958;214711223958
7041489;214711223959;214711223959
7041490;214713223964;214713223964
7041491;214714223965;214714223965
7041492;214714223966;214714223966
7041493;214714223967;214714223967
7041494;214714223968;214714223968
7041495;214715223969;214715223969
7041496;214715223970;214715223970
7041497;214716223971;214716223971
7041498;214717223993;214717223993
7041499;214719223996;214719223996
7041500;214720223997;214720223997
7041501;214722223999;214722223999
7041502;214725224010;214725224010
7041503;214725224011;214725224011
7041504;214725224013;214725224013
7041505;214726224007;214726224007
7041506;214727224006;214727224006
7041507;214728224009;214728224009
7041508;214729224014;214729224014
7041509;214730224026;214730224026
7041510;214731224027;214731224027
7041511;214732224028;214732224028
7041512;214732224029;214732224029
7041513;214734224034;214734224034
7041514;214734224035;214734224035
7041515;214736224039;214736224039
7041516;214737224041;214737224041
7041517;214738224042;214738224042
7041518;214738224043;214738224043
7041519;214738224045;214738224045
7041520;214738224046;214738224046
7041521;214738224048;214738224048
7041522;214740224055;214740224055
7041523;214740224057;214740224057
7041524;214741224069;214741224069
7041525;214742224071;214742224071
7041526;214743224050;214743224050
7041527;214744224073;214744224073
7041528;214745224074;214745224074
7041529;214745224075;214745224075
7041530;214745224076;214745224076
7041531;214745224077;214745224077
7041532;214745224078;214745224078
7041533;214745224079;214745224079
7041534;214746224080;214746224080
7041535;214747224321;214747224321
7041536;214747224322;214747224322
7041537;214747224323;214747224323
7041538;214747224325;214747224325
7041539;214747224326;214747224326
7041540;214747224327;214747224327
7041541;214747224329;214747224329
7041542;214747224330;214747224330
7041543;214747224331;214747224331
7041544;214747224334;214747224334
7041545;214747224335;214747224335
7041546;214747224336;214747224336
7041547;214747224337;214747224337
7041548;214747224338;214747224338
7041549;214747224339;214747224339
7041550;214747224340;214747224340
7041551;214747224341;214747224341
7041552;214747224342;214747224342
7041553;214747224343;214747224343
7041554;214747224344;214747224344
7041555;214747224345;214747224345
7041556;214747224346;214747224346
7041557;214747224347;214747224347
7041558;214747224348;214747224348
7041559;214747224349;214747224349
7041560;214747224350;214747224350
7041561;214747224351;214747224351
7041562;214747224352;214747224352
7041563;214747224353;214747224353
7041564;214747224354;214747224354
7041565;214747224355;214747224355
7041566;214747224356;214747224356
7041567;214747224357;214747224357
7041568;214747224358;214747224358
7041569;214747224359;214747224359
7041570;214747224360;214747224360
7041571;214747224363;214747224363
7041572;214747224364;214747224364
7041573;214747224367;214747224367
7041574;214747224372;214747224372
7041575;214747224373;214747224373
7041576;214747224374;214747224374
7041577;214747224375;214747224375
7041578;214747224376;214747224376
7041579;214747224377;214747224377
7041580;214747224378;214747224378
7041581;214747224379;214747224379
7041582;214747224380;214747224380
7041583;214747224381;214747224381
7041584;214747224382;214747224382
7041585;214747224386;214747224386
7041586;214747224387;214747224387
7041587;214747224391;214747224391
7041588;214747224394;214747224394
7041589;214747224396;214747224396
7041590;214747224397;214747224397
7041591;214747224398;214747224398
7041592;214747224399;214747224399
7041593;214747224400;214747224400
7041594;214747224404;214747224404
7041595;214747224406;214747224406
7041596;214747224408;214747224408
7041597;214747224410;214747224410
7041598;214747224411;214747224411
7041599;214751224125;214751224125
7041600;214752224126;214752224126
7041601;214752224129;214752224129
7041602;214753224141;214753224141
7041603;214754224142;214754224142
7041604;214755224145;214755224145
7041605;214756224146;214756224146
7041606;214757224148;214757224148
7041607;214759224169;214759224169
7041608;214759224170;214759224170
7041609;214761224095;214761224095
7041610;214762224173;214762224173
7041611;214764224181;214764224181
7041612;214765224183;214765224183
7041613;214774224250;214774224250
7041614;214774224251;214774224251
7041615;214774224252;214774224252
7041616;214774224253;214774224253
7041617;214777224257;214777224257
7041618;214780224256;214780224256
7041619;214781224328;214781224328
7041620;214782224304;214782224304
7041621;214784224310;214784224310
7041622;214786224324;214786224324
7041623;214788224361;214788224361
7041624;214791224388;214791224388
7041625;214792224392;214792224392
7041626;214793224405;214793224405
7041627;214794224407;214794224407
7041628;214794224409;214794224409
7041629;214795224419;214795224419
7041630;214797224425;214797224425
7041631;214798224422;214798224422
7041632;214798224423;214798224423
7041633;214799224421;214799224421
7041634;214800224431;214800224431
7041635;214801224430;214801224430
7041636;214802224432;214802224432
7041637;214802224433;214802224433
7041638;214802224434;214802224434
7041639;214802224435;214802224435
7041640;214802224436;214802224436
7041641;214802224437;214802224437
7041642;214802224438;214802224438
7041643;214802224439;214802224439
7041644;214802224440;214802224440
7041645;214802224441;214802224441
7041646;214802224442;214802224442
7041647;214802224443;214802224443
7041648;214802224444;214802224444
