+0000000001158385+0000000000000002                  06                                                                                                                                                                                                                                      PISO DE 1 DORMITORIO+00000001+00000001
+0000000001158385+0000000000000003                  06                                                                                                                                                                                                                                      PISO DE 1 DORMITORIO+00000001+00000000
+0000000001158385+0000000000000004                  15                                                                                                                                                                                                                                                    GARAJE+00000000+00000000
+0000000001158385+0000000000000005                  16                                                                                                                                                                                                                                                  TRASTERO+00000000+00000000
+0000000001158403+0000000000000003                  03                                                                                                                                                                                                                  CHALET ADOSADO DE 3 PLANTAS Y 4 DORMITOR+00000004+00000003
+0000000001158403+0000000000000002                  06                                                                                                                                                                                                                                     PISO DE 2 DORMITORIOS+00000002+00000001
+0000000001158403+0000000000000001                  06                                                                                                                                                                                                                                     PISO DE 3 DORMITORIOS+00000003+00000001
+0000000001158510+0000000000000002                  15                                                                                                                                                                                                                                                    GARAJE+00000000+00000000
+0000000001146044+0000000000000002                  06                                                                                                                                                                                                                                                  ESTUDIOS+00000050+00000001
+0000000001988617+0000000000000004                  03                                                                                                                                                                                                                                                  ESTUDIOS+00000050+00000001
+0000000002006852+0000000000000001                  12                                                                                                                                                                                                                                                 COMERCIAL+00000000+00000000
+0000000002006852+0000000000000002                  05                                                                                                                                                                                                                  CASA UNIFAMILIAR DE 0 PLANTAS Y 2 DORMIT+00000002+00000000
+0000000002006852+0000000000000003                  05                                                                                                                                                                                                                  CASA UNIFAMILIAR DE 1 PLANTA  Y 2 DORMIT+00000002+00000001
+0000000001988617+0000000000000005                  03                                                                                                                                                                                                                  CHALET ADOSADO DE 1 PLANTA  Y 4 DORMITOR+00000004+00000001
+0000000000546855+0000000000000007                  05                                                                                                                                                                                                                                                  ESTUDIOS+00000050+00000003
+0000000000682418+0000000000000005                  15                                                                                                                                                                                                                                                    GARAJE+00000000+00000000
+0000000000682418+0000000000000006                  16                                                                                                                                                                                                                                                  TRASTERO+00000000+00000000
+0000000000884657+0000000000000010                  06                                                                                                                                                                                                                                                  ESTUDIOS+00000050+00000000
+0000000002099560+0000000000000003                  06                                                                                                                                                                                                                                     PISO DE 3 DORMITORIOS+00000003+00000001
+0000000002112907+0000000000000001                  03                                                                                                                                                                                                                  CHALET ADOSADO DE 0 PLANTAS Y 4 DORMITOR+00000004+00000000
+0000000002112907+0000000000000002                  03                                                                                                                                                                                                                  CHALET ADOSADO DE 0 PLANTAS Y 2 DORMITOR+00000002+00000000
+0000000002112907+0000000000000003                  03                                                                                                                                                                                                                  CHALET ADOSADO DE 0 PLANTAS Y 3 DORMITOR+00000003+00000000
+0000000002113198+0000000000000001                  03                                                                                                                                                                                                                  CHALET ADOSADO DE 0 PLANTAS Y 3 DORMITOR+00000003+00000000
+0000000002113198+0000000000000002                  03                                                                                                                                                                                                                  CHALET ADOSADO DE 0 PLANTAS Y 2 DORMITOR+00000002+00000000
+0000000002133278+0000000000000001                  06                                                                                                                                                                                                                                      PISO DE 1 DORMITORIO+00000001+00000001
