ACT_NUM_ACTIVO|ACT_NUM_ACTIVO_CAIXA|ACT_NUM_ACTIVO_UVEM
5930287|89048737|14859833
5930290|89036683|4646017
5930303|89048349|14688014
5930309|89037566|6713834
5930312|89040576|10102697
5930316|89063174|21311192
5930319|89063342|21407880
5930330|89046953|13420143
5930332|89055070|17965693
5930333|89039995|24067698
5930334|89046831|13377298
5930336|89041136|10397204
5930343|89040295|9952600
5930347|89049537|15470507
5930348|89058317|19612249
5930349|89039067|22983363
5930351|89053270|16296032
5930352|89054388|17212335
5930356|89046253|13140622
5930357|89046380|13154670
5930358|89052425|15898011
5930360|89037813|22286271
5930364|89045544|12676103
5930377|89040113|24081334
5930388|89049402|15429865
5930389|89037264|6301365
5930390|89038407|7638236
5930405|89037336|6455965
5930409|89038954|8520752
5930447|89052571|15941792
5930452|89043211|11811447
5930454|89053824|16559181
5930458|89058896|19790867
5930462|89056656|19064459
5930464|89047520|13759305
5930470|89048484|14714118
5930477|89048030|14150807
5930481|89042174|11081012
5930497|89061016|20435914
5930507|89045031|12491424
5930509|89054855|17765161
5930512|89061058|20445108
5930515|89037249|6281995
5930518|89062282|20861029
5930520|89037910|6894000
5930529|89037408|6565182
5930532|89048833|14890660
5930535|89036613|4315978
5930542|89044079|12116702
5930553|89040871|10249534
5930571|89036883|5407714
5930579|89043995|12086212
5930583|89056817|19112233
5930587|89041419|10594496
5930588|89062735|21119549
5930595|89044355|12207723
5930596|89045912|12945635
5930597|89052542|15931041
5930607|89053900|16575127
5930611|89039087|8661127
5930615|89040936|10265696
5930617|89040526|10088115
5930625|89058468|19660616
5930627|89039708|9483589
5930629|89037610|6759466
5930639|89048763|14861695
5930640|89053857|16563623
5930641|89054145|16763435
5930642|89043986|12081382
5930645|89036932|5551601
5930648|89062020|20754431
5930658|89036491|3809241
5930659|89038018|22647268
5930665|89037907|6893322
5930674|89061257|20497240
5930688|89037994|6922765
5930693|89043702|12020734
5930713|89052024|15761088
5930746|89053751|16535336
5930752|89062888|21194202
5930756|89045478|12647021
5930767|89061361|20540067
5930772|89044832|12434910
5930773|89037919|6896913
5930778|89047529|13780821
5930785|89047066|13458891
5930789|89063589|21540707
5930792|89036952|5583905
5930797|89051233|15502938
5930807|89038171|22688088
5930818|89053837|16560869
5930819|89054091|16617958
5930851|89042622|11509597
5930857|89045696|12884239
5930865|89052878|16181634
5930867|89037112|5965390
5930876|89038279|7481241
5930886|89048711|14858786
5930892|89055762|18563292
5930913|89051423|15607773
5930916|89056987|19167353
5930927|89042062|10999670
5930934|89053611|16485135
5930936|89036438|3621826
5930939|89037503|6679991
5930960|89037419|6576512
5930961|89038195|7389972
5930963|89045729|12893241
5930967|89044387|12208635
5930977|89060959|20425262
5930984|89047570|13794401
5930988|89038987|8550629
5930994|89060679|20344758
5931002|89039033|22967552
5931003|89036633|4396238
5931011|89051807|15695796
5931014|89054748|17697928
5931020|89060733|20357174
5931050|89036619|4349386
5931052|89042868|11623976
5931053|89046656|13300877
5931060|89039838|9497907
5931062|89048545|14743920
5931063|89049361|15411782
5931077|89064156|21776471
5931079|89054927|17781341
5931082|89036843|5311746
5931089|89045687|12881854
5931095|89036478|3761874
5931101|89056089|18638403
5931102|89036587|4195748
5931115|89060765|20363323
5931116|89038558|7840279
5931118|89048189|14330908
5931120|89054072|16612894
5931138|89036892|5430820
