+0000000000000001+0000000414452801                  01             A164755                                                                               FIRMA 7147 DIRECTOR/A2013120500000000
+0000000000000001+0000000414464501                  01             A164739                                                                                              MAGNUN2012103100000000
+0000000000000001+0000000414464502                  01             A164755                                                                           FIRMA 9933 ATT DIRECTOR/A2013112900000000
+0000000000000002+0000000414464501                  01             A111842                                                                                             LEGAZPI2012032620120424
+0000000000000003+0000000414464501                  01             A164739                                                                                          FIRMA 60012012091820121031
+0000000000000001+0000000414476201                  01             A164739                                                                                              MAGNUN2012103100000000
+0000000000000001+0000000414476202                  01             A164755                                                                                          FIRMA 65892013122300000000
+0000000000000002+0000000414476201                  01             A111842                                                                                             LEGAZPI2012032620120424
+0000000000000001+0000000414487901                  01             A164755                                                                                          FIRMA 57532014022400000000
+0000000000000002+0000000414487901                  01             A111842                                                                                             LEGAZPI2012032620120424
+0000000000000001+0000000419483601                  01             A129468                                                                                      YOLANDA MORENO2009091600000000
+0000000000000001+0000000419483602                  01             A164823                                                                           FIRMA 6160 PALOMA BOTELLA2013061400000000
+0000000000000002+0000000419483601                  01             A129468                                                                               SERRA EXCLUSIVES 95592009091620090923
+0000000000000003+0000000419483601                  01             A119075                                                                                      UNIGES 1 LLAVE2009092120091102
+0000000000000001+0000000419495301                  01             A129468                                                                                      YOLANDA MORENO2009091600000000
+0000000000000001+0000000419495302                  01             A164823                                                                           FIRMA 6160 PALOMA BOTELLA2013061400000000
+0000000000000001+0000000419502801                  01             A129468                                                                                      YOLANDA MORENO2009091600000000
+0000000000000001+0000000419502802                  01             A164823                                                                           FIRMA 6160 PALOMA BOTELLA2013061400000000
+0000000000000001+0000000419514501                  01             A129468                                                                                    SERRA EXCLUSIVES2009081400000000
+0000000000000001+0000000419514502                  01             A129468                                                                                           ROAN 99142010112200000000
+0000000000000002+0000000419514501                  01             A134113                                                                               UNIGES JUANMA 1 COPIA2009090920091102
+0000000000000003+0000000419514501                  01             A117705                                                                                            MAGUDOVA2009111020091210
+0000000000000004+0000000419514501                  01             A129468                                                                                    SERRA EXCLUSIVES2010021620101122
+0000000000000005+0000000419514501                  01             A142764                                                                           SOCIEDAD PUBLICA ALQUILER2010121020110111
+0000000000000001+0000000444011201                  01             A158377                                                                                          GASIL 20122012111300000000
+0000000000000001+0000000444011202                  01             A164841                                                                                   FIRMA 9913 CÉDULA2013120200000000
+0000000000000002+0000000444011201                  01             A158377                                                                                              UNIGES2012111620121212
+0000000000000001+0000000444151001                  01             A147782                                                                                         GEMA ZAPATA2011092900000000
+0000000000000001+0000000444151002                  01             A147782                                                                                             DZ 08632012032800000000
