USUARIO_REM,ID_OFICINA,ID_ENTIDAD,,
azanon,2157,3058,,
azanon,7046,3058,,
azanon,7047,3058,,
pmorera,2262,3058,,
pmorera,2260,3058,,
vgardel,2018,3058,,
pmorera,2141,3058,,
pmorera,2147,3058,,
pmorera,2213,3058,,
pmorera,2221,3058,,
vgardel,2029,3118,,
vgardel,2043,3118,,
dmartin,2010,3058,,
dmartin,2234,3058,,
azanon,2294,3058,,
vgardel,2032,3118,,
vgardel,2025,3118,,
dmartin,2276,3058,,
dmartin,2253,3058,,
azanon,2293,3058,,
azanon,2121,3058,,
dmartin,2182,3058,,
pmorera,2269,3058,,
azanon,7075,3058,,
azanon,7076,3058,,
azanon,7001,3058,,
azanon,7080,3058,,
azanon,7027,3058,,
vgardel,2193,3058,,
azanon,7031,3058,,
azanon,2270,3058,,
ncolom,2177,3058,,
azanon,7002,3058,,
dmartin,2344,3058,,
dmartin,2275,3058,,
azanon,7048,3058,,
azanon,7081,3058,,
vgardel,2205,3058,,
vgardel,2111,3058,,
vgardel,2328,3058,,
vgardel,2283,3058,,
azanon,2217,3058,,
vgardel,2148,3058,,
vgardel,2028,3118,,
vgardel,2024,3118,,
vgardel,2026,3118,,
vgardel,2030,3118,,
vgardel,2036,3118,,
vgardel,2044,3118,,
vgardel,2051,3118,,
azanon,7073,3058,,
azanon,2196,3058,,
azanon,2295,3058,,
azanon,7271,3123,,
azanon,7083,3058,,
azanon,7090,3058,,
dmartin,2240,3058,,
dmartin,2342,3058,,
dmartin,2289,3058,,
dmartin,2266,3058,,
dmartin,2307,3058,,
dmartin,2001,3058,,
dmartin,2003,3058,,
dmartin,2007,3058,,
dmartin,2012,3058,,
dmartin,2023,3058,,
dmartin,2161,3058,,
dmartin,2203,3058,,
dmartin,2223,3058,,
dmartin,2224,3058,,
dmartin,2230,3058,,
dmartin,2237,3058,,
dmartin,2241,3058,,
dmartin,2244,3058,,
dmartin,2249,3058,,
dmartin,2252,3058,,
dmartin,2316,3058,,
azanon,2179,3058,,
azanon,2235,3058,,
azanon,2243,3058,,
dmartin,2271,3058,,
dmartin,2100,3058,,
dmartin,2210,3058,,
dmartin,2354,3058,,
dmartin,2005,3058,,
dmartin,2016,3058,,
dmartin,2108,3058,,
dmartin,2190,3058,,
dmartin,2219,3058,,
dmartin,2225,3058,,
dmartin,2228,3058,,
dmartin,2229,3058,,
dmartin,2246,3058,,
dmartin,2254,3058,,
dmartin,2292,3058,,
dmartin,2308,3058,,
dmartin,2348,3058,,
dmartin,7024,3058,,
pmorera,2146,3058,,
azanon,7017,3058,,
azanon,2366,3121,,
azanon,2265,3058,,
vgardel,2339,3058,,
vgardel,2263,3058,,
azanon,2371,3152,,
azanon,2153,3058,,
pmorera,2116,3058,,
vgardel,2192,3058,,
dmartin,2011,3058,,
msanchezf,3802,3058,,
msanchezf,7022,3058,,
msanchezf,7014,3058,,
msanchezf,3801,3058,,
msanchezf,7086,3058,,
msanchezf,7040,3058,,
msanchezf,3803,3058,,
ofernandez,5901,3058,,
ofernandez,5902,3058,,
ofernandez,5305,3058,,
ofernandez,5301,3058,,
ofernandez,5303,3058,,
ofernandez,5309,3058,,
ofernandez,5311,3058,,
ofernandez,5307,3058,,
msanchezf,6701,3058,,
ofernandez,5603,3058,,
ofernandez,5601,3058,,
ofernandez,5602,3058,,
ofernandez,6002,3058,,
ofernandez,6001,3058,,
msanchezf,4703,3058,,
msanchezf,4701,3058,,
msanchezf,4704,3058,,
msanchezf,4702,3058,,
ofernandez,6401,3058,6401,
ofernandez,6402,3058,6402,
msanchezf,7093,3058,,
msanchezf,7072,3058,,
msanchezf,7042,3058,,
msanchezf,7039,3058,,
msanchezf,2950,3058,,
msanchezf,3703,3058,,
ofernandez,5413,3058,,
ofernandez,5411,3058,,
ofernandez,5401,3058,,
ofernandez,5402,3058,,
ofernandez,5406,3058,,
ofernandez,5412,3058,,
ofernandez,5407,3058,,
ofernandez,5414,3058,,
ofernandez,5404,3058,,
ofernandez,5410,3058,,
ofernandez,5403,3058,,
ofernandez,5409,3058,,
msanchezf,988,3058,,
msanchezf,1910,3058,,
msanchezf,978,3058,,
msanchezf,1930,3058,,
msanchezf,1938,3058,,
msanchezf,1929,3058,,
msanchezf,968,3058,,
msanchezf,984,3058,,
msanchezf,1911,3058,,
msanchezf,977,3058,,
msanchezf,1918,3058,,
msanchezf,983,3058,,
msanchezf,962,3058,,
msanchezf,963,3058,,
msanchezf,971,3058,,
msanchezf,972,3058,,
msanchezf,1906,3058,,
msanchezf,1907,3058,,
msanchezf,1912,3058,,
msanchezf,1916,3058,,
msanchezf,964,3058,,
msanchezf,966,3058,,
msanchezf,967,3058,,
msanchezf,985,3058,,
msanchezf,1908,3058,,
msanchezf,1909,3058,,
msanchezf,1915,3058,,
msanchezf,1919,3058,,
msanchezf,1920,3058,,
msanchezf,1931,3058,,
msanchezf,969,3058,,
msanchezf,979,3058,,
msanchezf,1901,3058,,
msanchezf,980,3058,,
msanchezf,1935,3058,,
msanchezf,1914,3058,,
msanchezf,1900,3058,,
msanchezf,1913,3058,,
msanchezf,4801,3058,,
msanchezf,4803,3058,,
msanchezf,4804,3058,,
msanchezf,4802,3058,,
ofernandez,6601,3058,,
ofernandez,5216,3058,,
ofernandez,5222,3058,,
ofernandez,5221,3058,,
ofernandez,5207,3058,,
ofernandez,5219,3058,,
ofernandez,5220,3058,,
ofernandez,5212,3058,,
ofernandez,5223,3058,,
ofernandez,5201,3058,,
ofernandez,5202,3058,,
ofernandez,5204,3058,,
ofernandez,5205,3058,,
ofernandez,5213,3058,,
ofernandez,5206,3058,,
ofernandez,5210,3058,,
ofernandez,5215,3058,,
msanchezf,4902,3058,,4902
msanchezf,4901,3058,,4901
ofernandez,5702,3058,,
ofernandez,5701,3058,,
ofernandez,2902,3058,,
ofernandez,2901,3058,,
msanchezf,5801,3058,,
msanchezf,4402,3058,,
ofernandez,5032,3058,,
ofernandez,5033,3058,,
ofernandez,5059,3058,,
ofernandez,5066,3058,,
ofernandez,5020,3058,,
ofernandez,5018,3058,,
ofernandez,5077,3058,,
ofernandez,5079,3058,,
ofernandez,5063,3058,,
ofernandez,5056,3058,,
ofernandez,5057,3058,,
ofernandez,5048,3058,,
ofernandez,5068,3058,,
ofernandez,5067,3058,,
ofernandez,5058,3058,,
ofernandez,5060,3058,,
ofernandez,5051,3058,,
ofernandez,5049,3058,,
ofernandez,5040,3058,,
ofernandez,5023,3058,,
ofernandez,5065,3058,,
ofernandez,5047,3058,,
ofernandez,5039,3058,,
ofernandez,5037,3058,,
ofernandez,5053,3058,,
ofernandez,5016,3058,,
ofernandez,5004,3058,,
ofernandez,5009,3058,,
ofernandez,5021,3058,,
ofernandez,5029,3058,,
ofernandez,5082,3058,,
ofernandez,5001,3058,,
ofernandez,5003,3058,,
ofernandez,5005,3058,,
ofernandez,5008,3058,,
ofernandez,5010,3058,,
ofernandez,5011,3058,,
ofernandez,5013,3058,,
ofernandez,5015,3058,,
ofernandez,5080,3058,,
ofernandez,5073,3058,,
ofernandez,5034,3058,,
ofernandez,5035,3058,,
ofernandez,5503,3058,,
ofernandez,5501,3058,,
ofernandez,5502,3058,,
msanchezf,4203,3058,,
msanchezf,4204,3058,,
msanchezf,4201,3058,,
jhernandez,3,3058,,
jhernandez,1,3058,,
jhernandez,123,3058,,
jhernandez,129,3058,,
jhernandez,175,3058,,
spalma,1008,3058,,
spalma,2,3058,,
spalma,91,3058,,
jhernandez,21,3058,,
bcanadas,0,3058,,
bcanadas,10,3058,,
bcanadas,33,3058,,
bcanadas,65,3058,,
bcanadas,66,3058,,
bcanadas,75,3058,,
bcanadas,76,3058,,
bcanadas,79,3058,,
bcanadas,81,3058,,
bcanadas,85,3058,,
bcanadas,86,3058,,
bcanadas,88,3058,,
bcanadas,92,3058,,
bcanadas,94,3058,,
bcanadas,98,3058,,
bcanadas,103,3058,,
bcanadas,114,3058,,
bcanadas,116,3058,,
bcanadas,119,3058,,
bcanadas,121,3058,,
bcanadas,127,3058,,
bcanadas,130,3058,,
bcanadas,157,3058,,
bcanadas,158,3058,,
bcanadas,159,3058,,
bcanadas,73,3058,,
spalma,62,3058,,
spalma,1005,3058,,
jhernandez,5,3058,,
jhernandez,41,3058,,
bcanadas,71,3058,,
jhernandez,9,3058,,
jhernandez,13,3058,,
bcanadas,12,3058,,
bcanadas,182,3058,,
jhernandez,11,3058,,
spalma,30,3058,,
jhernandez,36,3058,,
spalma,23,3058,,
jhernandez,8,3058,,
bcanadas,52,3058,,
jhernandez,7,3058,,
jhernandez,35,3058,,
jhernandez,77,3058,,
jhernandez,90,3058,,
jhernandez,97,3058,,
jhernandez,117,3058,,
jhernandez,147,3058,,
jhernandez,148,3058,,
jhernandez,163,3058,,
jhernandez,38,3058,,
jhernandez,14,3058,,
jhernandez,107,3058,,
jhernandez,54,3058,,
bcanadas,44,3058,,
bcanadas,145,3058,,
bcanadas,146,3058,,
spalma,17,3058,,
spalma,113,3058,,
bcanadas,61,3058,,
bcanadas,185,3058,,
jhernandez,133,3058,,
jhernandez,89,3058,,
jhernandez,15,3058,,
jhernandez,155,3058,,
jhernandez,64,3058,,
jhernandez,57,3058,,
jhernandez,46,3058,,
spalma,186,3058,,
bcanadas,47,3058,,
spalma,29,3058,,
jhernandez,39,3058,,
jhernandez,126,3058,,
bcanadas,152,3058,,
bcanadas,194,3058,,
spalma,100,3058,,
spalma,56,3058,,
bcanadas,74,3058,,
jhernandez,87,3058,,
jhernandez,42,3058,,
spalma,6,3058,,
spalma,303,3058,,
spalma,60,3058,,
jhernandez,40,3058,,
jhernandez,82,3058,,
jhernandez,83,3058,,
jhernandez,112,3058,,
jhernandez,187,3058,,
jhernandez,96,3058,,
bcanadas,67,3058,,
bcanadas,181,3058,,
jhernandez,132,3058,,
spalma,32,3058,,
bcanadas,48,3058,,
bcanadas,16,3058,,
spalma,18,3058,,
jhernandez,34,3058,,
spalma,25,3058,,
spalma,24,3058,,
spalma,125,3058,,
bcanadas,95,3058,,
bcanadas,191,3058,,
jhernandez,50,3058,,
spalma,22,3058,,
jhernandez,101,3058,,
spalma,55,3058,,
bcanadas,93,3058,,
bcanadas,118,3058,,
bcanadas,111,3058,,
bcanadas,124,3058,,
bcanadas,102,3058,,
bcanadas,108,3058,,
bcanadas,110,3058,,
bcanadas,115,3058,,
bcanadas,120,3058,,
bcanadas,140,3058,,
bcanadas,149,3058,,
bcanadas,151,3058,,
bcanadas,153,3058,,
bcanadas,167,3058,,
bcanadas,1003,3058,,
jhernandez,80,3058,,
bcanadas,162,3058,,
bcanadas,189,3058,,
bcanadas,1004,3058,,
jhernandez,106,3058,,
spalma,27,3058,,
spalma,122,3058,,
bcanadas,131,3058,,
jhernandez,137,3058,,
jhernandez,20,3058,,
spalma,128,3058,,
spalma,170,3058,,
spalma,28,3058,,
jhernandez,138,3058,,
spalma,198,3058,,
spalma,31,3058,,
bcanadas,49,3058,,
bcanadas,192,3058,,
jhernandez,109,3058,,
jhernandez,166,3058,,
jhernandez,168,3058,,
jhernandez,174,3058,,
jhernandez,188,3058,,
spalma,26,3058,,
spalma,139,3058,,
spalma,193,3058,,
emoreno,3014,3058,,
emoreno,3012,3058,,
emoreno,3006,3058,,
emoreno,3027,3058,,
spalma,3011,3058,,
emoreno,3017,3058,,
emoreno,3021,3058,,
emoreno,3024,3058,,
emoreno,3007,3058,,
emoreno,3008,3058,,
emoreno,3009,3058,,
emoreno,3013,3058,,
emoreno,3018,3058,,
emoreno,3023,3058,,
jhernandez,3002,3058,,
spalma,3028,3058,,
emoreno,3015,3058,,
emoreno,3010,3058,,
emoreno,3022,3058,,
emoreno,3001,3058,,
emoreno,3020,3058,,
emoreno,3003,3058,,
emoreno,3016,3058,,
emoreno,3201,3058,,
emoreno,3204,3058,,
emoreno,3203,3058,,
emoreno,3202,3058,,
emoreno,3205,3058,,
emoreno,3207,3058,,
aromera,398,3058,,
bgonzalezn,422,3058,422,
aromera,215,3058,,
aromera,231,3058,,
aromera,323,3058,,
aromera,393,3058,,
aromera,395,3058,,
bgonzalezn,273,3058,,
mguitart,382,3058,,
mguitart,255,3058,,
mguitart,316,3058,,
bgonzalezn,258,3058,258,
bgonzalezn,328,3058,,
aromera,240,3058,,
mguitart,392,3058,,
mguitart,202,3058,,
aromera,213,3058,,
aromera,250,3058,,
mguitart,363,3058,,
bgonzalezn,226,3058,226,
bgonzalezn,253,3058,253,
mguitart,406,3058,,
aromera,265,3058,,
aromera,425,3058,,
bgonzalezn,237,3058,237,
bgonzalezn,207,3058,207,
aromera,290,3058,,
mguitart,410,3058,,
mguitart,301,3058,,
bgonzalezn,421,3058,421,
bgonzalezn,267,3058,267,
bgonzalezn,369,3058,369,
bgonzalezn,214,3058,214,
mguitart,284,3058,,
mguitart,325,3058,,
mguitart,245,3058,,
mguitart,278,3058,,
mguitart,353,3058,,
mguitart,208,3058,,
mguitart,220,3058,,
mguitart,280,3058,,
mguitart,288,3058,,
mguitart,291,3058,,
mguitart,311,3058,,
mguitart,349,3058,,
mguitart,364,3058,,
mguitart,381,3058,,
mguitart,409,3058,,
aromera,309,3058,,
bgonzalezn,230,3058,230,
bgonzalezn,272,3058,272,
bgonzalezn,221,3058,221,
bgonzalezn,365,3058,365,
bgonzalezn,256,3058,256,
bgonzalezn,302,3058,302,
bgonzalezn,390,3058,390,
aromera,229,3058,,
mguitart,219,3058,,
mguitart,384,3058,,
mguitart,227,3058,,
mguitart,465,3058,,
mguitart,276,3058,,
aromera,224,3058,,
mguitart,320,3058,,
bgonzalezn,332,3058,,
bgonzalezn,377,3058,377,
aromera,222,3058,,
mguitart,427,3058,,
aromera,356,3058,,
mguitart,212,3058,,
bgonzalezn,428,3058,428,
bgonzalezn,433,3058,433,
aromera,351,3058,,
mguitart,209,3058,,
mguitart,254,3058,,
bgonzalezn,246,3058,246,
bgonzalezn,287,3058,287,
mguitart,217,3058,,
aromera,339,3058,,
aromera,247,3058,,
aromera,201,3058,,
aromera,251,3058,,
aromera,260,3058,,
aromera,263,3058,,
aromera,305,3058,,
aromera,343,3058,,
aromera,387,3058,,
aromera,405,3058,,
bgonzalezn,279,3058,279,
mguitart,426,3058,,
mguitart,370,3058,,
mguitart,234,3058,,
mguitart,397,3058,,
mguitart,371,3058,,
aromera,203,3058,,
aromera,307,3058,,
mguitart,211,3058,,
aromera,380,3058,,
aromera,271,3058,,
aromera,362,3058,,
aromera,411,3058,,
aromera,248,3058,,
aromera,257,3058,,
aromera,292,3058,,
aromera,334,3058,,
mguitart,357,3058,,
aromera,347,3058,,
bgonzalezn,259,3058,259,
bgonzalezn,338,3058,338,
bgonzalezn,396,3058,396,
bgonzalezn,232,3058,232,
bgonzalezn,293,3058,,
bgonzalezn,330,3058,,
bgonzalezn,372,3058,,
bgonzalezn,360,3058,,
bgonzalezn,283,3058,,
bgonzalezn,304,3058,,
bgonzalezn,329,3058,,
bgonzalezn,341,3058,,
bgonzalezn,200,3058,,
bgonzalezn,236,3058,,
bgonzalezn,243,3058,,
bgonzalezn,252,3058,,
bgonzalezn,264,3058,,
bgonzalezn,269,3058,,
bgonzalezn,286,3058,,
bgonzalezn,289,3058,,
bgonzalezn,295,3058,,
bgonzalezn,296,3058,,
bgonzalezn,308,3058,,
bgonzalezn,327,3058,,
bgonzalezn,359,3058,,
bgonzalezn,361,3058,,
bgonzalezn,437,3058,,
bgonzalezn,440,3058,,
aromera,242,3058,,
aromera,319,3058,,
mguitart,331,3058,,
mguitart,318,3058,,
aromera,374,3058,,
bgonzalezn,241,3058,241,
mguitart,210,3058,,
bgonzalezn,354,3058,,
aromera,206,3058,,
aromera,204,3058,,
aromera,266,3058,,
aromera,417,3058,,
aromera,216,3058,,
mguitart,223,3058,,
mguitart,429,3058,,
mguitart,239,3058,,
mguitart,294,3058,,
mguitart,270,3058,,
mguitart,218,3058,,
mguitart,238,3058,,
