
    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
     11935          2       2823         11                                     
     11937          2       4904         11                                     
     11941          2       5305         11                                     
     11943          2       5603         11                                     
     11950          2       6113         11                                     
     11951          2       6113         11                                     
     11953          2       6304         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     11961          2       6734          7                                     
      8957          2       2804          7                                     
      8955          2       2701          7                                     
      8968          2       3301          7                                     
      8969          2       3302          7                                     
      8972          2       3302          7                                     
      8986          2       4807         11                                     
      8988          2       4807          7                                     
      9149          2       1350         11                                     
      9166          2       4903         11                                     
     11963          2       6734          7                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     11965          2       6760          7                                     
     11966          2       6760          7                                     
     11967          2       6760          7                                     
     11968          2       6760          7                                     
     11971          2       6770         11                                     
     11972          2       6772          7                                     
     11973          2       6772          7                                     
     11980          2       6817          7                                     
     11986          2       6862         11                                     
     11989          2       6884         11                                     
     15059          2       7314         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     15061          2       7328         11                                     
     15067          2       7836          7                                     
     15079          2       7949          7                                     
     15082          2       7961         11                                     
     15105          2       9203         11                                     
     15114          2       9221         11                                     
     15116          2       9227         11                                     
     15117          2       9228         11                                     
     12258          2       5216         11                                     
     12260          2       5221         11                                     
     12266          2       5808         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     12268          2       6113         11                                     
     12276          2       6740          7                                     
     12278          2       6740         11                                     
     12279          2       6740          7                                     
     15435          2       2701         11                                     
     15439          2       5156         11                                     
     15446          2       6796         11                                     
     15467          2       7014         11                                     
     15474          2       7324         11                                     
     15486          2       7934         11                                     
     15489          2       7961         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     15490          2       7961         11                                     
     15496          2       7998         11                                     
     15503          2       8423         11                                     
     13962          2       3104         21                                     
      8906          2       1338          7                                     
      8928          2       1423          7                                     
      8938          2       1704          7                                     
      8953          2       2701          7                                     
      8956          2       2804          7                                     
      8958          2       2804          7                                     
     12654          2       5169         11                                     

    TAR_ID  DD_EIN_ID     EXP_ID  DD_STA_ID                                     
---------- ---------- ---------- ----------                                     
     12662          2       6766         11                                     
     12667          2       6790         11                                     
     12681          2       7337         11                                     
      8967          2       3301         11                                     
      8977          2       3705          7                                     
      8981          2       3904          7                                     
      8987          2       4807         11                                     
