Cartera|Subcartera|Zona (provincia)|Tipo de trabajo|Subtipo de trabajo|Codigo proveedor|Proveedor por defecto (0/1)
03||La Rioja|Obtención documentación|Cédula de Habitabilidad||10009469
03||Ceuta|Obtención documentación|Cédula de Habitabilidad||10009469
03||Melilla|Obtención documentación|Cédula de Habitabilidad||10009469
03||Cádiz|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Córdoba|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Granada|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Huelva|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Jaén|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Málaga|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Sevilla|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Almería|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Huesca|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Teruel|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Zaragoza|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Asturias|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Baleares|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Las Palmas|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Santa C. Tenerife|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Cantabria|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Avila|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Burgos|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||León|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Palencia|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Salamanca|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Segovia|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Soria|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Valladolid|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Zamora|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Albacete|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||CiudadReal|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Cuenca|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Guadalajara|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Toledo|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Barcelona|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Girona|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Lleida|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Tarragona|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
03||Alicante|Obtención documentación|Certificado Eficiencia Energética (CEE)|B62529425|110157123
