Num_Gasto|Partida_Presupuestaria|Cuenta_contable
11260084|G011339|6220000000
11260085|G011339|6220000000
11260107|G011339|6220000010
11260111|G011339|6220000000
11260112|G011339|6220000000
11260113|G011339|6220000000
11260114|G011339|6220000000
11260115|G011339|6220000000
11260255|G011339|6220000000
11260257|G011339|6220000000
11260259|G011339|6220000000
11260260|G011339|6220000000
11260261|G011339|6220000000
11260262|G011339|6220000000
11260263|G011339|6220000000
11260264|G011339|6220000000
11260275|G011339|6220000000
11260277|G011339|6220000000
11260279|G011339|6220000000
11260288|G011339|6220000000
11260291|G011339|6220000000
11260294|G011339|6220000000
11260295|G011339|6220000010
11260302|G011339|6220000000
11260305|G011339|6220000000
11261541|G011339|6220000000
11261542|G011339|6220000000
11261543|G011339|6220000000
11261544|G011339|6220000000
11261545|G011339|6220000000
11261546|G011339|6220000000
11261547|G011339|6220000000
11261548|G011339|6220000000
11261549|G011339|6220000000
11261550|G011339|6220000000
11261551|G011339|6220000000
11261552|G011339|6220000000
11261553|G011339|6220000000
11261554|G011339|6220000000
11261555|G011339|6220000000
11261556|G011339|6220000000
11261557|G011339|6220000000
11261558|G011339|6220000000
11261559|G011339|6220000000
11261620|G011339|6220000000
11261621|G011339|6220000000
11261624|G011339|6220000000
11261625|G011339|6220000000
11261626|G011339|6220000000
11261627|G011339|6220000000
11261628|G011339|6220000000
11267021|G011339|6220000000
11269727|G011339|6220000000
11269728|G011339|6220000010
11269970|G011339|6220000000
11269971|G011339|6220000000
11269972|G011339|6220000000
11269973|G011339|6220000000
11269974|G011339|6220000000
11269975|G011339|6220000000
11278374|G011339|6220000000
11278825|G011339|6220000000
11278826|G011339|6220000000
11278827|G011339|6220000010
11278828|G011339|6220000000
11278829|G011339|6220000000
11278834|G011339|6220000000
11278836|G011339|6220000000
11278837|G011339|6220000000
11278838|G011339|6220000000
11278839|G011339|6220000000
11278847|G011339|6220000000
11278849|G011339|6220000000
11282654|G011339|6220000000
11282655|G011339|6220000000
11282656|G011339|6220000000
11282657|G011339|6220000000
11282658|G011339|6220000000
11282659|G011339|6220000000
11282660|G011339|6220000000
11282661|G011339|6220000000
11282662|G011339|6220000000
11282663|G011339|6220000000
11282664|G011339|6220000000
11282674|G011339|6220000000
11282732|G011339|6220000000
11282734|G011339|6220000000
11282735|G011339|6220000000
11282736|G011339|6220000000
11282737|G011339|6220000000
11282813|G011339|6220000000
11282814|G011339|6220000000
11282815|G011339|6220000000
11282816|G011339|6220000000
11282817|G011339|6220000000
11282818|G011339|6220000000
11282819|G011339|6220000000
11282820|G011339|6220000000
11282857|G011339|6220000000
11282858|G011339|6220000000
11282893|G011339|6220000010
11282909|G011339|6220000000
11282910|G011339|6220000000
11282912|G011339|6220000000
11282913|G011339|6220000000
11282914|G011339|6220000000
11282915|G011339|6220000000
11282916|G011339|6220000000
11282921|G011339|6220000010
11282922|G011339|6220000010
11282923|G011339|6220000010
11282926|G011339|6220000010
11282927|G011339|6220000010
11282928|G011339|6220000010
11282929|G011339|6220000010
11282930|G011339|6220000010
11282935|G011339|6220000000
11282936|G011339|6220000000
11282937|G011339|6220000000
11282939|G011339|6220000000
11282940|G011339|6220000000
11282941|G011339|6220000000
11282942|G011339|6220000000
11282956|G011339|6220000000
11282957|G011339|6220000000
11282958|G011339|6220000000
11282996|G011339|6220000000
11282997|G011339|6220000000
11283009|G011339|6220000000
11283010|G011339|6220000000
11283011|G011339|6220000000
11283012|G011339|6220000000
11283013|G011339|6220000000
11283014|G011339|6220000000
11283015|G011339|6220000000
11283017|G011339|6220000000
11283018|G011339|6220000000
11283019|G011339|6220000000
11283020|G011339|6220000000
11283021|G011339|6220000000
11283022|G011339|6220000000
11283023|G011339|6220000010
11283026|G011339|6220000000
11283027|G011339|6220000000
11283028|G011339|6220000000
11283029|G011339|6220000000
11283030|G011339|6220000000
11283034|G011339|6220000000
11283035|G011339|6220000000
11283047|G011339|6220000000
11283048|G011339|6220000000
11283049|G011339|6220000000
11283050|G011339|6220000000
11283051|G011339|6220000000
11283052|G011339|6220000000
11283053|G011339|6220000000
11283057|G011339|6220000000
11283060|G011339|6220000000
11283061|G011339|6220000000
11283062|G011339|6220000000
11283063|G011339|6220000000
11283064|G011339|6220000000
11283065|G011339|6220000000
11283066|G011339|6220000000
11283069|G011339|6220000000
11283072|G011339|6220000000
11283074|G011339|6220000000
11283080|G011339|6220000000
11283081|G011339|6220000000
11283082|G011339|6220000000
11283083|G011339|6220000000
11283084|G011339|6220000000
11283085|G011339|6220000000
11283086|G011339|6220000000
11283087|G011339|6220000000
11283088|G011339|6220000000
11283090|G011339|6220000000
11283091|G011339|6220000000
11283092|G011339|6220000000
11283093|G011339|6220000000
11283094|G011339|6220000000
11283095|G011339|6220000000
11283096|G011339|6220000000
11283097|G011339|6220000000
11283098|G011339|6220000000
11283099|G011339|6220000000
11283100|G011339|6220000000
11283101|G011339|6220000000
11283102|G011339|6220000000
11283103|G011339|6220000000
11283104|G011339|6220000000
11283105|G011339|6220000000
11283106|G011339|6220000000
11283107|G011339|6220000000
11283108|G011339|6220000000
11283109|G011339|6220000000
11283110|G011339|6220000000
11283111|G011339|6220000000
11283112|G011339|6220000000
11283113|G011339|6220000000
11283114|G011339|6220000000
11283115|G011339|6220000000
11283116|G011339|6220000000
11283117|G011339|6220000000
11283118|G011339|6220000000
11283119|G011339|6220000000
11283120|G011339|6220000000
11283121|G011339|6220000000
11283122|G011339|6220000000
11283123|G011339|6220000000
11283124|G011339|6220000000
11283125|G011339|6220000000
11283126|G011339|6220000000
11283127|G011339|6220000000
11283128|G011339|6220000000
11283129|G011339|6220000000
11283130|G011339|6220000000
11283131|G011339|6220000000
11283132|G011339|6220000000
11283133|G011339|6220000000
11283134|G011339|6220000000
11283135|G011339|6220000000
